Bridge Site,Bridge Survey: Created Date,Bridge Survey: Bridge Survey Name,Origin,Origin - Other,Origin - Admin Code,Destination,Destination - Other,Destination - Admin Code,Home Village,Home Village - Other,Home Village - Admin Code,Crossing Method,Purpose of Travel,Purpose of Travel - Other,Purpose of Travel - Categorized,Travel time,Gender,Approximate Age,Number of seniors traveling,Number of adults,Number of young adults traveling,Number of school aged children,Number of young children,Mode of Transportation,Cargo,Cargo - Other,Notes,Person previously surveyed today,River Conditions,River Photo URL,Weather Conditions,Bridge Survey: ID
Gasasa,10/02/2021,Bridge Survey - 00004615,,,,Other,Nyamweru,35040206,Mukoni,,35030504,B2P bridge,Other,Temporarily job,Livelihood,90,Male,Young adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000Fb1cZQAR,Cloudy; Temperature is cool,a3b3Z000001ZmXN
Gasasa,10/12/2021,Bridge Survey - 00004711,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,School,,Education,30,Female,School-aged child,,,,5,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001ZmfN
Gasasa,10/12/2021,Bridge Survey - 00004710,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,School,,Education,30,Male,School-aged child,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy,a3b3Z000001Zmg5
Gasasa,10/12/2021,Bridge Survey - 00004709,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,School,,Education,30,Male,School-aged child,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zmg0
Gasasa,10/12/2021,Bridge Survey - 00004708,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,School,,Education,30,Female,School-aged child,,,,6,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zmfv
Gasasa,10/12/2021,Bridge Survey - 00004702,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,Selling goods,,Livelihood,25,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001ZmfR
Gasasa,10/12/2021,Bridge Survey - 00004703,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,Farming,,Livelihood,30,Male,Adult,,,,,,Foot,Other,Bean suports (imihembezo),,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Light rain; Temperature is cool,a3b3Z000001ZmfW
Gasasa,10/12/2021,Bridge Survey - 00004707,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,,,Others ,30,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001Zmfq
Gasasa,10/12/2021,Bridge Survey - 00004701,,,,Gashubi market,,350103,Ngugu,,35130605,B2P bridge,Buying goods,,Livelihood,120,Female,School-aged child,,,,1,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Light rain; Temperature is cool,a3b3Z000001ZmfM
Gasasa,10/12/2021,Bridge Survey - 00004699,,,,Gashubi market,,350103,Ngugu,,35130605,B2P bridge,Selling goods; Buying goods,,Livelihood,120,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000FbgxcQAB,Cloudy; Temperature is cool,a3b3Z000001ZmfC
