Bridge Site,Destination - Admin Code,respondent_count,proportion
Gahororo,24030306,874,0.8855116514690983
Gahororo,24030501,49,0.04964539007092199
Gahororo,24030505,45,0.04559270516717325
Gahororo,24030307,8,0.008105369807497468
Gahororo,24010202,6,0.0060790273556231
Gahororo,24030201,2,0.002026342451874367
Gahororo,24030502,2,0.002026342451874367
Gahororo,28080207,1,0.0010131712259371835
Gasasa,35050105,243,0.4084033613445378
Gasasa,35010301,215,0.36134453781512604
Gasasa,35010403,20,0.03361344537815126
Gasasa,35010303,19,0.031932773109243695
Gasasa,35010302,18,0.030252100840336135
Gasasa,35030104,16,0.02689075630252101
Gasasa,321304,10,0.01680672268907563
Gasasa,350605,9,0.015126050420168067
Gasasa,350103,6,0.010084033613445379
Gasasa,35130301,6,0.010084033613445379
Gasasa,351306,6,0.010084033613445379
Gasasa,35130302,5,0.008403361344537815
Gasasa,3501,3,0.005042016806722689
Gasasa,35100206,2,0.0033613445378151263
Gasasa,35130306,2,0.0033613445378151263
Gasasa,nan,2,0.0033613445378151263
Gasasa,1202,1,0.0016806722689075631
Gasasa,350101,1,0.0016806722689075631
Gasasa,35010101,1,0.0016806722689075631
Gasasa,35010304,1,0.0016806722689075631
Gasasa,35010404,1,0.0016806722689075631
Gasasa,35020101,1,0.0016806722689075631
Gasasa,35040206,1,0.0016806722689075631
Gasasa,35050604,1,0.0016806722689075631
Gasasa,35080506,1,0.0016806722689075631
Gasasa,3509,1,0.0016806722689075631
Gasasa,35090105,1,0.0016806722689075631
Gasasa,351303,1,0.0016806722689075631
Gasasa,35130601,1,0.0016806722689075631
Kanyarira,27080303,180,0.3821656050955414
Kanyarira,26020404,153,0.3248407643312102
Kanyarira,26020401,44,0.09341825902335456
Kanyarira,27080101,15,0.03184713375796178
Kanyarira,27090402,11,0.02335456475583864
Kanyarira,26020111,9,0.01910828025477707
Kanyarira,27080201,7,0.014861995753715499
Kanyarira,43110202,7,0.014861995753715499
Kanyarira,26070204,5,0.010615711252653927
Kanyarira,26070405,5,0.010615711252653927
Kanyarira,21020105,3,0.006369426751592357
Kanyarira,26070602,3,0.006369426751592357
Kanyarira,26070603,3,0.006369426751592357
Kanyarira,26070607,3,0.006369426751592357
Kanyarira,11030309,2,0.004246284501061571
Kanyarira,26020103,2,0.004246284501061571
Kanyarira,27050305,2,0.004246284501061571
