Bridge Site,Home Village - Admin Code,respondent_count,proportion
Gahororo,24030501,205,0.2077001013171226
Gahororo,24030505,131,0.13272543059777103
Gahororo,24030502,99,0.10030395136778116
Gahororo,24030306,90,0.0911854103343465
Gahororo,24030203,89,0.09017223910840932
Gahororo,24030202,76,0.07700101317122594
Gahororo,24030205,76,0.07700101317122594
Gahororo,24030201,72,0.0729483282674772
Gahororo,24030204,61,0.06180344478216818
Gahororo,24030504,33,0.03343465045592705
Gahororo,23140303,11,0.011144883485309016
Gahororo,24030503,10,0.010131712259371834
Gahororo,24030101,8,0.008105369807497468
Gahororo,24030307,6,0.0060790273556231
Gahororo,24060402,5,0.005065856129685917
Gahororo,23140501,4,0.004052684903748734
Gahororo,23140302,2,0.002026342451874367
Gahororo,24010202,2,0.002026342451874367
Gahororo,24020403,2,0.002026342451874367
Gahororo,24010101,1,0.0010131712259371835
Gahororo,24020108,1,0.0010131712259371835
Gahororo,24020109,1,0.0010131712259371835
Gahororo,24070508,1,0.0010131712259371835
Gahororo,24090103,1,0.0010131712259371835
Gasasa,35010301,336,0.5647058823529412
Gasasa,35050105,107,0.17983193277310924
Gasasa,35010303,37,0.06218487394957983
Gasasa,35030104,21,0.03529411764705882
Gasasa,35010302,15,0.025210084033613446
Gasasa,32130401,11,0.018487394957983194
Gasasa,35030304,10,0.01680672268907563
Gasasa,35080506,8,0.013445378151260505
Gasasa,350101,6,0.010084033613445379
Gasasa,35010403,6,0.010084033613445379
Gasasa,351306,6,0.010084033613445379
Gasasa,350103,5,0.008403361344537815
Gasasa,351303,4,0.0067226890756302525
Gasasa,35130605,4,0.0067226890756302525
Gasasa,35130306,3,0.005042016806722689
Gasasa,35010104,2,0.0033613445378151263
Gasasa,35130301,2,0.0033613445378151263
Gasasa,35130302,2,0.0033613445378151263
Gasasa,31110804,1,0.0016806722689075631
Gasasa,3204,1,0.0016806722689075631
Gasasa,3501,1,0.0016806722689075631
Gasasa,350205,1,0.0016806722689075631
Gasasa,350206,1,0.0016806722689075631
Gasasa,35020604,1,0.0016806722689075631
Gasasa,35030504,1,0.0016806722689075631
Gasasa,35130305,1,0.0016806722689075631
Gasasa,35130601,1,0.0016806722689075631
Gasasa,37040503,1,0.0016806722689075631
Kanyarira,26020401,119,0.2526539278131635
Kanyarira,27090402,49,0.1040339702760085
Kanyarira,43110202,46,0.09766454352441614
Kanyarira,27080303,29,0.06157112526539278
Kanyarira,27080101,26,0.055201698513800426
Kanyarira,26070605,23,0.04883227176220807
Kanyarira,27080202,19,0.040339702760084924
Kanyarira,26020404,18,0.03821656050955414
Kanyarira,26070405,14,0.029723991507430998
Kanyarira,26070603,14,0.029723991507430998
Kanyarira,26070602,12,0.025477707006369428
Kanyarira,26020111,10,0.021231422505307854
Kanyarira,26070401,10,0.021231422505307854
Kanyarira,26070607,10,0.021231422505307854
Kanyarira,26070606,7,0.014861995753715499
Kanyarira,27080201,7,0.014861995753715499
Kanyarira,26020103,6,0.012738853503184714
Kanyarira,26070601,6,0.012738853503184714
Kanyarira,26070604,6,0.012738853503184714
Kanyarira,31070303,6,0.012738853503184714
Kanyarira,26070202,4,0.008492569002123142
Kanyarira,26070203,4,0.008492569002123142
Kanyarira,26070406,4,0.008492569002123142
Kanyarira,11030309,2,0.004246284501061571
Kanyarira,26020203,2,0.004246284501061571
Kanyarira,26030103,2,0.004246284501061571
Kanyarira,26070402,2,0.004246284501061571
Kanyarira,27050206,2,0.004246284501061571
Kanyarira,27120101,2,0.004246284501061571
Kanyarira,11090307,1,0.0021231422505307855
Kanyarira,21010412,1,0.0021231422505307855
Kanyarira,26020407,1,0.0021231422505307855
Kanyarira,26030105,1,0.0021231422505307855
Kanyarira,26040301,1,0.0021231422505307855
Kanyarira,26070403,1,0.0021231422505307855
Kanyarira,26090215,1,0.0021231422505307855
Kanyarira,28010306,1,0.0021231422505307855
Kanyarira,33040403,1,0.0021231422505307855
Kanyarira,35010101,1,0.0021231422505307855
Muhembe,3503,124,0.27074235807860264
Muhembe,35050301,66,0.14410480349344978
Muhembe,35070105,43,0.09388646288209607
Muhembe,35030104,42,0.09170305676855896
Muhembe,35050601,41,0.08951965065502183
Muhembe,35100502,36,0.07860262008733625
Muhembe,35030101,33,0.07205240174672489
Muhembe,35020103,18,0.039301310043668124
Muhembe,35080602,14,0.03056768558951965
Muhembe,350506,10,0.021834061135371178
Muhembe,350301,3,0.006550218340611353
Muhembe,350402,3,0.006550218340611353
Muhembe,351105,3,0.006550218340611353
