Bridge Site,Bridge Survey: Created Date,Bridge Survey: Bridge Survey Name,Origin,Origin - Other,Origin - Admin Code,Destination,Destination - Other,Destination - Admin Code,Home Village,Home Village - Other,Home Village - Admin Code,Crossing Method,Purpose of Travel,Purpose of Travel - Other,Purpose of Travel - Categorized,Travel time,Gender,Approximate Age,Number of seniors traveling,Number of adults,Number of young adults traveling,Number of school aged children,Number of young children,Mode of Transportation,Cargo,Cargo - Other,Notes,Person previously surveyed today,River Conditions,River Photo URL,Weather Conditions,Bridge Survey: ID,home_centroid,destination_centroid,Bridge Name,bridge_coordinates,home_to_bridge_distance,bridge_to_destination_distance,total_distance
Gasasa,10/02/2021,Bridge Survey - 00004615,,,,Other,Nyamweru,35040206,Mukoni,,35030504,B2P bridge,Other,Temporarily job,Livelihood,90.0,Male,Young adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000Fb1cZQAR,Cloudy; Temperature is cool,a3b3Z000001ZmXN,POINT (454904.5857966964 4800730.230517271),POINT (451193.31840469583 4806227.081018174),Gasasa,POINT (449047.43849299813 4783981.539580765),17743.303599493855,22348.80118572143,40092.104785215284
Gasasa,10/12/2021,Bridge Survey - 00004711,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,School,,Education,30.0,Female,School-aged child,,,,5.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001ZmfN,POINT (449839.9295290053 4783994.352262474),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,792.5946044254262,1585.1892088508523
Gasasa,10/12/2021,Bridge Survey - 00004710,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,School,,Education,30.0,Male,School-aged child,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy,a3b3Z000001Zmg5,POINT (449839.9295290053 4783994.352262474),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,792.5946044254262,1585.1892088508523
Gasasa,10/12/2021,Bridge Survey - 00004709,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,School,,Education,30.0,Male,School-aged child,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zmg0,POINT (449839.9295290053 4783994.352262474),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,792.5946044254262,1585.1892088508523
Gasasa,10/12/2021,Bridge Survey - 00004708,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,School,,Education,30.0,Female,School-aged child,,,,6.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zmfv,POINT (449839.9295290053 4783994.352262474),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,792.5946044254262,1585.1892088508523
Gasasa,10/12/2021,Bridge Survey - 00004702,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,Selling goods,,Livelihood,25.0,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001ZmfR,POINT (449839.9295290053 4783994.352262474),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,792.5946044254262,1585.1892088508523
Gasasa,10/12/2021,Bridge Survey - 00004703,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,Farming,,Livelihood,30.0,Male,Adult,,,,,,Foot,Other,Bean suports (imihembezo),,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Light rain; Temperature is cool,a3b3Z000001ZmfW,POINT (449839.9295290053 4783994.352262474),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,792.5946044254262,1585.1892088508523
Gasasa,10/12/2021,Bridge Survey - 00004707,,,,Gasasa,,35010301,Gasasa,,35010301,B2P bridge,,,Other,30.0,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001Zmfq,POINT (449839.9295290053 4783994.352262474),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,792.5946044254262,1585.1892088508523
Gasasa,10/12/2021,Bridge Survey - 00004701,,,,Gashubi market,,350103,Ngugu,,35130605,B2P bridge,Buying goods,,Livelihood,120.0,Female,School-aged child,,,,1.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Light rain; Temperature is cool,a3b3Z000001ZmfM,POINT (448846.5404999177 4786250.246206379),POINT (449366.0932350456 4782741.737907862),Gasasa,POINT (449047.43849299813 4783981.539580765),2277.5841931146724,1280.097274726476,3557.6814678411483
Gasasa,10/12/2021,Bridge Survey - 00004699,,,,Gashubi market,,350103,Ngugu,,35130605,B2P bridge,Selling goods; Buying goods,,Livelihood,120.0,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000FbgxcQAB,Cloudy; Temperature is cool,a3b3Z000001ZmfC,POINT (448846.5404999177 4786250.246206379),POINT (449366.0932350456 4782741.737907862),Gasasa,POINT (449047.43849299813 4783981.539580765),2277.5841931146724,1280.097274726476,3557.6814678411483
Gasasa,10/12/2021,Bridge Survey - 00004704,,,,Other,Nturo,35050105,Gasasa,,35010301,B2P bridge,Buying goods; Other,Buying airtime,Livelihood,40.0,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Light rain; Temperature is cool,a3b3Z000001Zmfb,POINT (449839.9295290053 4783994.352262474),POINT (452219.216165194 4792540.030381046),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,9127.318246907778,9919.912851333205
Gasasa,10/12/2021,Bridge Survey - 00004712,,,,Other,Site bridge,35010303,Gasasa,,35010301,B2P bridge,Recreation,,Recreation,15.0,Male,School-aged child,,,,2.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000Fbh0CQAR,Cloudy; Temperature is cool,a3b3Z000001ZmgA,POINT (449839.9295290053 4783994.352262474),POINT (448262.69251570606 4782838.202858562),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,1386.7390198646603,2179.3336242900864
Gasasa,10/12/2021,Bridge Survey - 00004706,,,,Other,Kanyana,351303,Other,Kanyana,351303,B2P bridge,,,Other,30.0,Male,Adult,,,,1.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Light rain; Temperature is cool,a3b3Z000001Zmfl,POINT (447098.5780403489 4785915.535178156),POINT (447098.5780403489 4785915.535178156),Gasasa,POINT (449047.43849299813 4783981.539580765),2745.6139631466554,2745.6139631466554,5491.227926293311
Gasasa,10/12/2021,Bridge Survey - 00004705,,,,Other,Rugeshi,35010303,Other,Rugeshi,35010303,B2P bridge,Farming,,Livelihood,60.0,Female,Adult,,,,,,Foot,"Agriculture inputs (manure, seed, pesticides, animal feed, etc.)",,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Light rain; Temperature is cool,a3b3Z000001Zmfg,POINT (448262.69251570606 4782838.202858562),POINT (448262.69251570606 4782838.202858562),Gasasa,POINT (449047.43849299813 4783981.539580765),1386.7390198646603,1386.7390198646603,2773.4780397293207
Gasasa,10/12/2021,Bridge Survey - 00004714,,,,Other,Nturo centre,35050105,Ruganda,,35080506,B2P bridge,Visiting friends or family,,Visiting family or friends,180.0,Female,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000Fbh15QAB,Cloudy; Temperature is moderate,a3b3Z000001ZmgK,POINT (447275.58390979946 4797531.69496783),POINT (452219.216165194 4792540.030381046),Gasasa,POINT (449047.43849299813 4783981.539580765),13665.510589714298,9127.318246907778,22792.828836622077
Gasasa,10/12/2021,Bridge Survey - 00004713,,,,Ruganda,,35050105,Gasasa,,35010301,B2P bridge,School,,Education,30.0,Female,School-aged child,,,,4.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is cool,a3b3Z000001ZmgF,POINT (449839.9295290053 4783994.352262474),POINT (452219.216165194 4792540.030381046),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,9127.318246907778,9919.912851333205
Gasasa,10/12/2021,Bridge Survey - 00004700,,,,Ruganda,,35050105,Ruganda,,35050105,B2P bridge,Farming,,Livelihood,30.0,Female,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Light rain; Temperature is cool,a3b3Z000001ZmfH,POINT (452219.216165194 4792540.030381046),POINT (452219.216165194 4792540.030381046),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,9127.318246907778,18254.636493815557
Gasasa,02/08/2022,Bridge Survey - 00006260,,,,Bitaba,,35130301,Other,Gashubi market,350103,B2P bridge,Visiting friends or family,,Visiting family or friends,120.0,Female,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001Zoo7,POINT (449366.0932350456 4782741.737907862),POINT (447944.1543159086 4785410.255178147),Gasasa,POINT (449047.43849299813 4783981.539580765),1280.097274726476,1805.1216672618416,3085.2189419883175
Gasasa,02/08/2022,Bridge Survey - 00006220,,,,Gasasa,,35010301,Ruganda,,35050105,B2P bridge,Other,Collection Animal feeds,Livelihood,60.0,Female,Senior,,,,,,Foot,"Agriculture inputs (manure, seed, pesticides, animal feed, etc.)",,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,,Cloudy; Temperature is moderate,a3b3Z000001Zol3,POINT (452219.216165194 4792540.030381046),POINT (449839.9295290053 4783994.352262474),Gasasa,POINT (449047.43849299813 4783981.539580765),9127.318246907778,792.5946044254262,9919.912851333205
