Bridge Site,Bridge Survey: Created Date,Bridge Survey: Bridge Survey Name,Origin,Origin - Other,Origin - Admin Code,Destination,Destination - Other,Destination - Admin Code,Home Village,Home Village - Other,Home Village - Admin Code,Crossing Method,Purpose of Travel,Purpose of Travel - Other,Purpose of Travel - Categorized,Travel time,Gender,Approximate Age,Number of seniors traveling,Number of adults,Number of young adults traveling,Number of school aged children,Number of young children,Mode of Transportation,Cargo,Cargo - Other,Notes,Person previously surveyed today,River Conditions,River Photo URL,Weather Conditions,Bridge Survey: ID,home_centroid,destination_centroid,Bridge Name,bridge_coordinates,home_to_bridge_distance,bridge_to_destination_distance,total_distance
Gasasa,02/10/2022,Bridge Survey - 00006324,,,,,,nan,Gasasa,,35010301,B2P bridge,School,,Education,35.0,Female,School-aged child,,,,4.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Light rain; Temperature is moderate,a3b3Z000001Zotv,POINT (449839.9295290053 4783994.352262474),,Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,,
Gasasa,14/06/2022,Bridge Survey - 00008401,Ruganda,,35130305.0,,,nan,Gasasa,,35010301,B2P bridge,School,,Education,30.0,Male,School-aged child,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001JF2x,POINT (449839.9295290053 4783994.352262474),,Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,,
Muhembe,04/03/2022,Bridge Survey - 00007364,,,,Other,Rubavu,33,Other,Rususa,351105,B2P bridge,Visiting friends or family,,Visiting family or friends,180.0,Male,Young adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is cool,a3b3Z000001ZqJG,POINT (457027.1098379419 4796337.685747527),,Muhembe,POINT (457036.2659700381 4798231.203871079),1893.5402607221267,,
Muhembe,30/10/2021,Bridge Survey - 00005211,,,,Gaseke,,35050301,Other,Ngororero,35,B2P bridge,Selling goods,,Livelihood,40.0,Male,Young adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is somewhat shallow (water reaches waist or less); River is moving moderately,,Cloudy; Light rain; Temperature is cool,a3b3Z000001ZnK5,,POINT (454377.3687558705 4792047.563168019),Muhembe,POINT (457036.2659700381 4798231.203871079),,6731.058367006274,
Mutiwingoma,15/11/2021,Bridge Survey - 00005370,,,,Other,Kirehe,55,Other,Kabuga,25050107,B2P bridge,Visiting friends or family,,Visiting family or friends,40.0,Female,Senior,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Light rain; Temperature is cool,a3b3Z000001ZnYH,POINT (448459.981070605 4740291.667784964),,Mutiwingoma,POINT (450345.65452614083 4738648.604640519),2501.0839405234465,,
Mutiwingoma,16/02/2022,Bridge Survey - 00006448,,,,Other,Rusizi,36,Kaduha,,2505,B2P bridge,Wage labor,,Livelihood,360.0,Male,Adult,,,,,,Foot,,,,,"River is deep (to cross without a bridge or boat, you would need to swim); River is moving moderately",,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zp53,POINT (446707.7984245952 4741028.286295788),,Mutiwingoma,POINT (450345.65452614083 4738648.604640519),4347.054381529759,,
Mutiwingoma,16/11/2021,Bridge Survey - 00005393,,,,Other,Nyamagabe Town,25,Other,Kaduha market,2505,B2P bridge,Selling goods,,Livelihood,180.0,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Znam,POINT (446707.7984245952 4741028.286295788),,Mutiwingoma,POINT (450345.65452614083 4738648.604640519),4347.054381529759,,
Mutiwingoma,28/04/2022,Bridge Survey - 00007555,Kaduha Health Center,,2505.0,Other,Huye,24,Other,Huye,24,B2P bridge,Visiting friends or family,,Visiting family or friends,240.0,Female,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,,Sunny; Temperature is moderate,a3b3Z000001gMw7,,,Mutiwingoma,POINT (450345.65452614083 4738648.604640519),,,
Nyarusange,10/02/2021,Bridge Survey - 00004625,,,,Bridge site,,251002,Other,Kigali city,1,B2P bridge,Recreation,,Recreation,150.0,Male,Adult,,10.0,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is cool,a3b3Z000001ZmYB,,POINT (452489.895881489 4737158.69490384),Nyarusange,POINT (499658.4689397679 4790499.624182629),,71204.83846396238,
Nyarusange,10/02/2021,Bridge Survey - 00004619,,,,Bridge site,,251002,Other,Kamonyi,28,B2P bridge,Recreation,,Recreation,90.0,Male,Adult,,2.0,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is cool,a3b3Z000001ZmXh,,POINT (452489.895881489 4737158.69490384),Nyarusange,POINT (499658.4689397679 4790499.624182629),,71204.83846396238,
