Bridge Opportunity: CaseSafeID,Bridge Opportunity: Project Code,Bridge Opportunity: Country,Bridge Opportunity: Opportunity Name,Bridge Opportunity: Stage,Bridge Opportunity: Sub-Stage,Bridge Opportunity: Close Date,Bridge Opportunity: Level 1 Government,Bridge Opportunity: Level 2 Government,Bridge Opportunity: Level 3 Government,Bridge Opportunity: Level 4 Government,Bridge Name,Bridge Opportunity: River Name,Bridge Opportunity: Research Initiative,Bridge Opportunity: Monitoring Campaign,Form: Form Name,Bridge Opportunity: GPS (Latitude),Bridge Opportunity: GPS (Longitude),Individuals Directly Served,Bridge Opportunity: Population Dataset URL,Bridge Opportunity: Population Estimate 2000m,Bridge Opportunity: Population Estimate 5000m,Community Served 1,Individuals served in Community 1,Community Served 2,Individuals served in Community 2,Community Served 3,Individuals served in Community 3,Community Served 4,Individuals served in Community 4,Community Served 5,Individuals served in Community 5,Community Served 6,Individuals Served in Community 6,Form: Created Date,Community Served 7,Individuals Served in Community 7,Community Served 8,Individuals Served in Community 8,Community Served 9,Individuals Served in Community 9,Community Served 10,Individuals Served in Community 10
006f100000a86CpAAI,1007327,Rwanda,Rwanda - Gikana - 1007327,Rejected,Technical,11/30/18,Eastern Province,Bugesera,Kabukuba,Gikana,Gikana,Akagera,,,Project Assessment - 2018.5.14,-2.072628,30.204381,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,2374,22797,Gikana,870,Mbuye,740,,0,,0,,0,,,5/14/18,,,,,,,,
006f100000a86CpAAI,1007327,Rwanda,Rwanda - Gikana - 1007327,Rejected,Technical,11/30/18,Eastern Province,Bugesera,Kabukuba,Gikana,Gikana,Akagera,,,Project Assessment - 2018.11.30,-2.072628,30.204381,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,2374,22797,,0,,0,,0,,0,,0,,,11/30/18,,,,,,,,
006f100000a86CtAAI,1007331,Rwanda,Rwanda - Nyamigende - 1007331,Rejected,,12/31/18,Eastern Province,Bugesera,Juru,,Nyamigende,Akagera,,,Project Assessment - 2018.5.14,-2.095311,30.245678,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,2731,23155,Nyamigende,1000,Bisagara,985,Kamashaza,980,Nduhuye,750,,0,,,5/14/18,,,,,,,,
006f100000a86CtAAI,1007331,Rwanda,Rwanda - Nyamigende - 1007331,Rejected,,12/31/18,Eastern Province,Bugesera,Juru,,Nyamigende,Akagera,,,Project Assessment - 2018.11.30,-2.095311,30.245678,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,2731,23155,Juru,6000,Nyakariro,0,,0,,0,,0,,,11/30/18,,,,,,,,
006f100000efEkkAAE,1014568,Rwanda,Rwanda - Nyirarukobwa - 1014568,Rejected,Technical,12/2/18,Eastern Province,Bugesera,Ntarama-Nyamata,Kanzenze-Kayumba(Cyeru-Karambi),Nyirarukobwa,Muzi,,,Project Assessment - 2018.11.29,-2.10574,30.087112,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,1585,17920,Kanzenze,6500,Kayumba,6200,,0,,0,,0,,,11/29/18,,,,,,,,
006f100000efEkpAAE,1014569,Rwanda,Rwanda - Kibaza - 1014569,Rejected,Vehicular Bridge Required,12/31/18,Eastern Province,Bugesera,,,Kibaza,Kibaza,,,Project Assessment - 2018.11.29,-2.335418,30.05721,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4708,29361,Kindama,55,,0,,0,,0,,0,,,11/29/18,,,,,,,,
006f100000efEkzAAE,1014570,Rwanda,Rwanda - Gatovu - 1014570,Rejected,Technical,11/30/18,Eastern Province,Bugesera,Ruhuha,Kindama(Gatovu),Gatovu,Gatovu,,,Project Assessment - 2018.11.29,-2.335818,30.075542,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4973,30310,Kindama cell,7226,,0,,0,,0,,0,,,11/29/18,,,,,,,,
006f100000efEl9AAE,1014571,Rwanda,Rwanda - Gatanga - 1014571,Rejected,Technical,12/2/18,Eastern Province,Bugesera,Ruhuha,Kindama-Gatanga(Kibaza-Kibaza),Gatanga,Kadogori,,,Project Assessment - 2018.11.29,-2.32955,30.056882,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4969,30792,Kindama cell,7224,Gatanga cell,6580,,0,,0,,0,,,11/29/18,,,,,,,,
006f100000efHARAA2,1014596,Rwanda,Rwanda - Rugarama/mbonwa - 1014596,Rejected,Technical,11/30/18,Eastern Province,Bugesera,Musenyi,Nyagihunika/rugarama,Rugarama/mbonwa,Ruhurura,,,Project Assessment - 2018.11.30,-2.22306,30.056,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,3913,26683,Rugarama,890,Mbonwa,1235,,0,,0,,0,,,11/30/18,,,,,,,,
006f100000efHAbAAM,1014598,Rwanda,Rwanda - Nyakajuri - 1014598,Rejected,Technical,11/30/18,Eastern Province,Bugesera,Musenyi,Nyagihunika/rugarama,Nyakajuri,Nyakajuri,,,Project Assessment - 2018.11.30,-2.20524,30.07864,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4424,21354,Rugarama,960,,0,,0,,0,,0,,,11/30/18,,,,,,,,
006f100000efHAgAAM,1014599,Rwanda,Rwanda - Nyakajuri - 1014599,Rejected,Vehicular Bridge Required,11/30/18,Eastern Province,Bugesera,Musenyi,Nyagihinika/nyakajuri,Nyakajuri,,,,Project Assessment - 2018.11.30,-2.22393,30.07617,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4362,25105,Nyakajuri,908,,0,,0,,0,,0,,,11/30/18,,,,,,,,
006f100000efHAlAAM,1014600,Rwanda,Rwanda - Nyabaranga - 1014600,Rejected,Vehicular Bridge Required,11/30/18,Eastern Province,Bugesera,Ruhuha,Ruhuha/nyaburanga,Nyabaranga,Gatare,,,Project Assessment - 2018.11.30,-2.29153,30.05912,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,5668,35095,Nyaburanga,568,,0,,0,,0,,0,,,11/30/18,,,,,,,,
006f100000efHHSAA2,1014618,Rwanda,Rwanda - Gahosha - 1014618,Rejected,Vehicular Bridge Required,11/30/18,Eastern Province,Bugesera,Shyara,Nziranzira,Gahosha,Rain storm water,,,Project Assessment - 2018.11.30,-2.248912,30.019451,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,5278,28889,Gahosha,550,,0,,0,,0,,0,,,11/30/18,,,,,,,,
006f100000efHIuAAM,1014619,Rwanda,Rwanda - Kinteko - 1014619,Rejected,Technical,12/2/18,Eastern Province,Bugesera,Shyara,Kabagugu,Kinteko,Nyiramagori,,,Project Assessment - 2018.11.30,-2.261622,29.988408,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4239,26601,Kintenko,289,Ngaruye,475,Kabagugu,621,Gaseke,500,,0,,,11/30/18,,,,,,,,
006f100000a86CuAAI,1007332,Rwanda,Rwanda - Bugambo - 1007332,Rejected,Technical,11/5/18,Northern Province,Burera,Kinyababa,Bugambo,Bugambo,Kabwa,,,Project Assessment - 2018.9.16,-1.377,29.80729,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8263,43244,Gatare,700,Kabingo,764,Kirwa,428,,0,,0,,,9/16/18,,,,,,,,
006f100000a86CwAAI,1007334,Rwanda,Rwanda - Karambi - 1007334,Rejected,Vehicular Bridge Required,10/31/18,Northern Province,Burera,Kinyababa,Bugamba,Karambi,Rutare,,,Project Assessment - 2018.9.16,-1.39214,29.81063,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8366,44323,Cyogo,515,Kirwa,428,Gako,630,,0,,0,,,9/16/18,,,,,,,,
006f100000a86CxAAI,1007335,Rwanda,Rwanda - Musangabo - 1007335,Rejected,Vehicular Bridge Required,10/31/18,Northern Province,Burera,Kagogo,Kirinda,Musangabo,Kagezi,,,Project Assessment - 2018.9.16,-1.38223,29.77727,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8284,46877,Musangamo,601,Kiligali,652,,0,,0,,0,,,9/16/18,,,,,,,,
006f100000a86CyAAI,1007336,Rwanda,Rwanda - Rugezi - 1007336,Rejected,Technical,11/1/18,Northern Province,Burera,Kivuye,Bukwashuli,Rugezi,Rugezi,,,Project Assessment - 2018.9.28,-1.48563,29.88871,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4497,29613,Gitovu,432,Kabaya,0,Rugezi,0,,0,,0,,,9/28/18,,,,,,,,
006f100000d6wFbAAI,1012972,Rwanda,Rwanda - Ku mashuri ya Rushara - 1012972,Rejected,Technical,11/13/18,Northern Province,Burera,Nemba,Nyamugali (Kagihanga),Ku mashuri ya Rushara,,,,Project Assessment - 2018.8.25,-1.55437,29.85284,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6426,40765,Kagihanga,753,Mugomero,616,Karyango,900,Bugondo,520,,0,,,8/25/18,,,,,,,,
006f100000d6wGEAAY,1012973,Rwanda,Rwanda - Mukigogo - 1012973,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Nyamugali (karyango),Mukigogo,,,,Project Assessment - 2018.8.25,-1.56439,29.85781,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6075,39897,Karyango,900,Nyagahondo,652,Bugondo,520,Kagesera,794,,0,,,8/25/18,,,,,,,,
006f100000d6wGdAAI,1012974,Rwanda,Rwanda - Ryaruhirima - 1012974,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Nyamugali (Ryaruhirima),Ryaruhirima,,,,Project Assessment - 2018.8.25,-1.54643,29.84546,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6850,43492,Ryaruhirima,982,Kagihanga,753,Ntazi,0,Mugonero,616,,0,,,8/25/18,,,,,,,,
006f100000d6wGnAAI,1012975,Rwanda,Rwanda - Musave - 1012975,Rejected,Technical,11/13/18,Northern Province,Burera,Nemba,Nyamugali(Karyango),Musave,,,,Project Assessment - 2018.8.25,-1.55797,29.86744,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6454,36967,Karyango,900,Nyagahondo,652,Cyarurenge,420,,0,,0,,,8/25/18,,,,,,,,
006f100000d6wHbAAI,1012976,Rwanda,Rwanda - Kirwa - 1012976,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Nyamugali (Shorezo),Kirwa,,,,Project Assessment - 2018.8.25,-1.57513,29.87746,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6457,38192,Shorezo,673,Kanyaru,896,Bigarigari,530,Nyiraruhuha,786,,0,,,8/25/18,,,,,,,,
006f100000d6wHlAAI,1012977,Rwanda,Rwanda - Ku mashuri ya rubona - 1012977,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Nyiraruhuha,Ku mashuri ya rubona,,,,Project Assessment - 2018.8.25,-1.58122,29.88095,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6490,38978,Nyiraruhuha,786,Shorezo,673,Kanyaru,896,Ngongwe,345,,0,,,8/25/18,,,,,,,,
006f100000d75zFAAQ,1013222,Rwanda,Rwanda - Kiziba - 1013222,Complete,In Service,12/13/24,Northern Province,Burera,Rugengabari,Nyanamo ( Kiziba),Kiziba,Nyamusanze,Rwanda Full Scale Research - Randomized but Not Baselined,,Project Assessment - 2018.9.2,-1.55473,29.83253,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6274,48005,Kiziba,864,Bishingwe,436,Kabukoko,450,Ntazi,580,Mugonero,616,,,9/2/18,,,,,,,,
006f100000d75zKAAQ,1013223,Rwanda,Rwanda - Gafuro ya 2 - 1013223,Rejected,Technical,11/15/18,Northern Province,Burera,Cyeru,Rurenge (Rugarama),Gafuro ya 2,Cyeru,,,Project Assessment - 2018.9.2,-1.51139,29.81161,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7406,49016,Rugarama,555,Musama,522,Mubuga,517,,0,,0,,,9/2/18,,,,,,,,
006f100000d75zeAAA,1013227,Rwanda,Rwanda - Gafuro ya 1 - 1013227,Rejected,Technical,11/11/18,Northern Province,Burera,Cyeru,Butare ( Musama),Gafuro ya 1,Karuruma,,,Project Assessment - 2018.9.2,-1.51287,29.8126,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7621,49414,Musama,522,Mubuga,517,Rugarama,555,,0,,0,,,9/2/18,,,,,,,,
006f100000d75zjAAA,1013228,Rwanda,Rwanda - Ku gatare - 1013228,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Rubona,Ku gatare,Nyamihogo,,,Project Assessment - 2018.9.2,-1.55931,29.88196,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6213,34887,Rebero,460,Cyabarenge,445,Kinkware,827,Buhore,763,Kanyaru,895,,,9/2/18,,,,,,,,
006f100000d75zoAAA,1013229,Rwanda,Rwanda - Kwa magorwa - 1013229,Rejected,Technical,9/13/18,Northern Province,Burera,Nemba,Rubona,Kwa magorwa,Nyamakoma,,,Project Assessment - 2018.9.2,-1.59194,29.89186,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6676,41986,Ngongwe,343,Nyantwere,410,Cyabami,956,,0,,0,,,9/2/18,,,,,,,,
006f100000d75ztAAA,1013230,Rwanda,Rwanda - Kwa mizerero - 1013230,Rejected,Technical,11/10/18,Northern Province,Burera,Nemba,Rubona,Kwa mizerero,Kanina,,,Project Assessment - 2018.9.2,-1.605,29.89527,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7879,44773,Butunda,380,Kadehero,658,Rugaragara,560,,0,,0,,,9/2/18,,,,,,,,
006f100000d7603AAA,1013232,Rwanda,Rwanda - Kwa mudahindwa - 1013232,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Rubona,Kwa mudahindwa,Ruhurura,,,Project Assessment - 2018.9.2,-1.59537,29.89217,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7131,42605,Nyantwere,410,Cyabami,956,Ngongwe,343,,0,,0,,,9/2/18,,,,,,,,
006f100000d7608AAA,1013233,Rwanda,Rwanda - Cyabami (Kwa Anamariya) - 1013233,Complete,In Service,9/8/22,Northern Province,Burera,Nemba,Kadehero,Cyabami (Kwa Anamariya),Ruhurura,Rwanda Full Scale Research - Randomized and Baselined - Intervention,,Project Assessment - 2018.9.2,-1.60834,29.8911,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8188,44688,Cyabami,956,Rugaragara,560,Butunda,380,Kadehero,658,,0,,,9/2/18,,,,,,,,
006f100000d760DAAQ,1013234,Rwanda,Rwanda - Cyabami (kwa jerome) - 1013234,Rejected,Technical,11/10/18,Northern Province,Burera,Nemba,Rubona,Cyabami (kwa jerome),Ruhurura,,,Project Assessment - 2018.9.2,-1.60203,29.89157,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7750,43856,Cyabami,956,Kadehoro,658,Butunda,380,,0,,0,,,9/2/18,,,,,,,,
006f100000d760IAAQ,1013235,Rwanda,Rwanda - Kwa Sibomana - 1013235,Rejected,Technical,11/16/18,Northern Province,Burera,Nemba,Kivumu (Songorero),Kwa Sibomana,Mugobore,,,Project Assessment - 2018.9.2,-1.59993,29.85702,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6592,43042,Songorero,970,Gasanzwe,432,Buhira,617,Buturuba,830,Cyave,910,,,9/2/18,,,,,,,,
006f100000d760NAAQ,1013236,Rwanda,Rwanda - Rugarama - 1013236,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Kivumu (Songorero),Rugarama,Mugobore,,,Project Assessment - 2018.9.2,-1.59631,29.85719,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6370,42866,Songorero,970,Gasanzwe,432,Buhira,617,Mugano,1035,,0,,,9/2/18,,,,,,,,
006f100000d760SAAQ,1013237,Rwanda,Rwanda - Kwa mvunabandi - 1013237,Rejected,Technical,11/13/18,Northern Province,Burera,Nemba,Kivumu,Kwa mvunabandi,Mugobore,,,Project Assessment - 2018.9.2,-1.61204,29.86299,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7067,43650,Mugano,1035,Rubuga,586,Buturuba,830,Songorero,970,Gashushura-Kigeyo-Nyamusanze,2000,,,9/2/18,,,,,,,,
006f100000d760XAAQ,1013238,Rwanda,Rwanda - Kwa Rwanziye - 1013238,Rejected,Technical,11/16/18,Northern Province,Burera,Nemba,Kivumu,Kwa Rwanziye,Mugobore,,,Project Assessment - 2018.9.2,-1.60708,29.85897,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6941,43283,Mugano,1035,Buturuba,830,Rubuga,586,,0,,0,,,9/2/18,,,,,,,,
006f100000d760cAAA,1013239,Rwanda,Rwanda - Kigeyo ya 2 - 1013239,Rejected,Technical,11/11/18,Northern Province,Burera,Nemba,Kivumu (Kigeyo),Kigeyo ya 2,Muhondo,,,Project Assessment - 2018.9.2,-1.5999,29.88097,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7814,42167,Kigeyo,776,Muhondo,1200,Songorero,976,,0,,0,,,9/2/18,,,,,,,,
006f100000d760hAAA,1013240,Rwanda,Rwanda - Kabubandi (Kwa mutayumba) - 1013240,Rejected,Technical,11/15/18,Northern Province,Burera,Nemba,Kivumu,Kabubandi (Kwa mutayumba),Mugobore,,,Project Assessment - 2018.9.2,-1.6032,29.85826,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6807,43139,Mugano,1035,Songorero,970,Buturuba,830,Buhira,617,Gasanzwe,432,,,9/2/18,,,,,,,,
006f100000d760mAAA,1013241,Rwanda,Rwanda - Nyamusanze - 1013241,Rejected,Technical,11/12/18,Northern Province,Burera,Nemba,Kigali ( Nyamusanze),Nyamusanze,Muhondo,,,Project Assessment - 2018.9.2,-1.758679,29.8733,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,5841,38082,Nyamusanze,813,Kigeyo,776,Muhondo,1200,,0,,0,,,9/2/18,,,,,,,,
006f100000d760rAAA,1013242,Rwanda,Rwanda - Kwa nshoboye - 1013242,Rejected,Technical,11/12/18,Northern Province,Burera,Nemba,Kivumu (Kigeyo),Kwa nshoboye,Muhondo,,,Project Assessment - 2018.9.2,-1.59526,29.87748,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7412,41693,Kigeyo,776,Muhondo,1200,Songorero,976,,0,,0,,,9/2/18,,,,,,,,
006f100000d760wAAA,1013243,Rwanda,Rwanda - Kwa Rucagu - 1013243,Rejected,Technical,11/30/18,Northern Province,Burera,Nemba,Ruhondo,Kwa Rucagu,Kibumbiro,,,Project Pre-Assessment - 2018.9.2,-1.59855,29.89346,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7369,43420,Nyantwere,410,Bukenyeye,545,,0,,0,,0,,,9/2/18,,,,,,,,
006f100000d7611AAA,1013244,Rwanda,Rwanda - Mubarame - 1013244,Rejected,Technical,11/30/18,Northern Province,Burera,Nemba,Kivumu(Songorero),Mubarame,Mubarame,,,Project Pre-Assessment - 2018.9.2,-1.58391,29.85683,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,5845,42007,Songorero,970,,0,,0,,0,,0,,,9/2/18,,,,,,,,
006f100000d7616AAA,1013245,Rwanda,Rwanda - Kigeyo ya 1 (Butambi) - 1013245,Rejected,Technical,12/31/18,Northern Province,Burera,Nemba,Kivumu (Kigeyo),Kigeyo ya 1 (Butambi),Muhondo,,,Project Pre-Assessment - 2018.9.2,-1.60154,29.88182,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7962,42558,Kigeyo,776,Muhondo,1200,,0,,0,,0,,,9/2/18,,,,,,,,
006f100000d761BAAQ,1013246,Rwanda,Rwanda - Kidomo - 1013246,Rejected,Technical,12/12/18,Northern Province,Burera,Nemba,Rushara (Cyave),Kidomo,Nyamusanze,,,Project Assessment - 2018.9.2,-1.56507,29.83916,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6126,44431,Cyave,910,Kidomo,480,Nyabitare,557,Rwata,865,,0,,,9/2/18,,,,,,,,
006f100000d761BAAQ,1013246,Rwanda,Rwanda - Kidomo - 1013246,Rejected,Technical,12/12/18,Northern Province,Burera,Nemba,Rushara (Cyave),Kidomo,Nyamusanze,,,Project Assessment - 2018.12.12,-1.56507,29.83916,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6126,44431,,0,,0,,0,,0,,0,,,12/12/18,,,,,,,,
006f100000d7EPzAAM,1013316,Rwanda,Rwanda - Zihare - 1013316,Rejected,Technical,11/10/18,Northern Province,Burera,Gatebe -Bungwe,Gabiro - Zihare,Zihare,Ruhurura,,,Project Assessment - 2018.9.9,-1.50342,29.95362,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8801,45886,Zihare,299,Buzaniro,348,Kajerijeri,623,Tumba,799,"Mutungo, Gitaba, Nyakabingo,Kagano",2800,,,9/9/18,,,,,,,,
006f100000d7EQ9AAM,1013317,Rwanda,Rwanda - Buzaniro - 1013317,Rejected,Technical,11/13/18,Northern Province,Burera,Bungwe,Mudugali,Buzaniro,Ruhurura,,,Project Assessment - 2018.9.9,-1.50145,29.95181,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8751,44440,Zihare,299,Kivumu,305,Buzaniro,348,Buzaniro,482,,0,,,9/9/18,,,,,,,,
006f100000d7EQEAA2,1013318,Rwanda,Rwanda - Kwa musakiranya - 1013318,Rejected,Technical,9/14/18,Northern Province,Burera,Gatebe,Musenda,Kwa musakiranya,Rukopfu,,,Project Assessment - 2018.9.9,-1.56761,29.99711,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8486,49625,Bikumba,1400,Rurambi,567,Nyagafunzo,840,Muremure,576,Kabuga,0,,,9/9/18,,,,,,,,
006f100000d7EQOAA2,1013319,Rwanda,Rwanda - Kivumo - 1013319,Rejected,Technical,11/15/18,Northern Province,Burera,Bungwe,Mudugali,Kivumo,Ruhoga,,,Project Assessment - 2018.9.9,-1.49022,29.95422,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7916,41091,Kivumo,305,Rubayo,525,Sangabuzi,375,,0,,0,,,9/9/18,,,,,,,,
006f100000d7EQdAAM,1013320,Rwanda,Rwanda - Rusuzuma - 1013320,Rejected,Technical,11/12/18,Northern Province,Burera,Gitovu,Mariba,Rusuzuma,Cyeru,,,Project Assessment - 2018.9.9,-1.49763,29.80603,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,6703,43084,Rusuzuma,452,Burabwa,865,Bitagara,274,Kiboga,418,"Runyenyeli, Buhemba and Mariba",1871,,,9/9/18,,,,,,,,
006f100000d7EQxAAM,1013321,Rwanda,Rwanda - Kwa moja - 1013321,Rejected,Technical,11/5/18,Northern Province,Burera,Gitovu,Runoga ( Kiraro ),Kwa moja,Murindi,,,Project Assessment - 2018.9.9,-1.52521,29.78268,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8970,48638,Kiraro,638,Musekera,828,Remya,720,Bushima,720,Mutungo and Gatenga,1421,,,9/9/18,,,,,,,,
006f100000d7ER7AAM,1013322,Rwanda,Rwanda - Mushubi - 1013322,Rejected,Technical,11/10/18,Northern Province,Burera,Rwerere,Kigali (Mushubi),Mushubi,Nyirabirande,,,Project Assessment - 2018.9.9,-1.52982,29.85156,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7418,41969,Mushubi,476,Gacyamo,890,Butare,950,Ryaruhirima,982,"Murambi, Gatovu, Mucaca, Ntazi, Kirambo",3268,,,9/9/18,,,,,,,,
006f100000d7ERlAAM,1013323,Rwanda,Rwanda - Tangata - 1013323,Rejected,Technical,11/11/18,Northern Province,Burera,Rwerere,Rugali,Tangata,Kara,,,Project Assessment - 2018.9.9,-1.51042,29.8463,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7525,44303,Tangata,700,Butare,950,Gacyamo,890,Kirambo,975,Mushubi,476,,,9/9/18,,,,,,,,
006f100000d7ERvAAM,1013324,Rwanda,Rwanda - Burindwa - 1013324,Rejected,Technical,11/13/18,Northern Province,Burera,Rwerere,Rugali,Burindwa,Kamirabageni,,,Project Assessment - 2018.9.9,-1.50887,29.84577,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7578,44536,Burindwa,698,Gacundura,1018,Moma,752,Butare,950,Kirambo,975,,,9/9/18,,,,,,,,
006f100000d7ESAAA2,1013325,Rwanda,Rwanda - Ruheka - 1013325,Rejected,Technical,11/12/18,Northern Province,Burera,Ruhunde,Gitovu ( kaverano),Ruheka,Nyamagana,,,Project Assessment - 2018.9.9,-1.59185,29.923,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,7507,47159,Kaberano,762,Kivumu,616,Genda,813,Nyabisasa,436,,0,,,9/9/18,,,,,,,,
006f100000d7ESPAA2,1013326,Rwanda,Rwanda - Kwa kabandwa - 1013326,Rejected,Technical,11/5/18,Northern Province,Burera,Gatebe,Musenda,Kwa kabandwa,Nyiragashiru,,,Project Assessment - 2018.9.9,-1.55462,29.98703,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8716,49705,Kabuga,524,Bikumba,1400,Murambo,528,Gacyamo,342,Rwamazi,628,,,9/9/18,,,,,,,,
006f100000d7ESZAA2,1013327,Rwanda,Rwanda - Kwa Bizimana - 1013327,Rejected,Technical,11/5/18,Northern Province,Burera,Gatebe,Musama ( Bikumba-Muramba),Kwa Bizimana,Rukopfo,,,Project Assessment - 2018.9.9,-1.55547,29.98941,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8809,50028,Bikumba,1400,Kabuga,524,Murambo,528,Rwamazi,628,Gacyamo,342,,,9/9/18,,,,,,,,
006f100000d7ESjAAM,1013328,Rwanda,Rwanda - Kwa rangira - 1013328,Rejected,Vehicular Bridge Required,11/30/18,Northern Province,Burera,Ruhunde,Gitovu( Kaberano),Kwa rangira,Mumujebe,,,Project Pre-Assessment - 2018.9.9,-1.59045,29.93291,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,8243,47210,Kaberano,762,,0,,0,,0,,0,,,9/9/18,,,,,,,,
006f100000d7ESoAAM,1013329,Rwanda,Rwanda - Rugarama - 1013329,Rejected,Vehicular Bridge Required,11/30/18,Northern Province,Burera,Gatebe,Rwasa,Rugarama,For rain,,,Project Pre-Assessment - 2018.9.9,-1.50973,29.92132,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,5700,32026,Rugarama,564,Rutovu,827,,0,,0,,0,,,9/9/18,,,,,,,,
