Bridge Opportunity: CaseSafeID,Bridge Opportunity: Project Code,Bridge Opportunity: Country,Bridge Opportunity: Opportunity Name,Bridge Opportunity: Stage,Bridge Opportunity: Sub-Stage,Bridge Opportunity: Close Date,Bridge Opportunity: Level 1 Government,Bridge Opportunity: Level 2 Government,Bridge Opportunity: Level 3 Government,Bridge Opportunity: Level 4 Government,Bridge Name,Bridge Opportunity: River Name,Bridge Opportunity: Research Initiative,Bridge Opportunity: Monitoring Campaign,Form: Form Name,Bridge Opportunity: GPS (Latitude),Bridge Opportunity: GPS (Longitude),Individuals Directly Served,Bridge Opportunity: Population Dataset URL,Bridge Opportunity: Population Estimate 2000m,Bridge Opportunity: Population Estimate 5000m,Community Served 1,Individuals served in Community 1,Community Served 2,Individuals served in Community 2,Community Served 3,Individuals served in Community 3,Community Served 4,Individuals served in Community 4,Community Served 5,Individuals served in Community 5,Community Served 6,Individuals Served in Community 6,Form: Created Date,Community Served 7,Individuals Served in Community 7,Community Served 8,Individuals Served in Community 8,Community Served 9,Individuals Served in Community 9,Community Served 10,Individuals Served in Community 10,geometry,WorldPop_1km,WorldPop_1_5km,WorldPop_2km,WorldPop_2_5km,WorldPop_3km,WorldPop_1km_unproj,WorldPop_1_5km_unproj,WorldPop_2km_unproj,WorldPop_2_5km_unproj,WorldPop_3km_unproj
006f100000a86CpAAI,1007327,Rwanda,Rwanda - Gikana - 1007327,Rejected,Technical,11/30/18,Eastern Province,Bugesera,Kabukuba,Gikana,Gikana,Akagera,,,Project Assessment - 2018.5.14,-2.072628,30.204381,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,2374.0,22797.0,Gikana,870.0,Mbuye,740.0,,0.0,,0.0,,0.0,,,5/14/18,,,,,,,,,POINT (522734.5787069366 4770841.107842632),170.99,788.24,2602.07,5215.06,8163.91,181.17,854.17,2671.61,5307.14,8363.24
006f100000a86CpAAI,1007327,Rwanda,Rwanda - Gikana - 1007327,Rejected,Technical,11/30/18,Eastern Province,Bugesera,Kabukuba,Gikana,Gikana,Akagera,,,Project Assessment - 2018.11.30,-2.072628,30.204381,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,2374.0,22797.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,11/30/18,,,,,,,,,POINT (522734.5787069366 4770841.107842632),170.99,788.24,2602.07,5215.06,8163.91,181.17,854.17,2671.61,5307.14,8363.24
006f100000a86CtAAI,1007331,Rwanda,Rwanda - Nyamigende - 1007331,Rejected,,12/31/18,Eastern Province,Bugesera,Juru,,Nyamigende,Akagera,,,Project Assessment - 2018.5.14,-2.095311,30.245678,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,2731.0,23155.0,Nyamigende,1000.0,Bisagara,985.0,Kamashaza,980.0,Nduhuye,750.0,,0.0,,,5/14/18,,,,,,,,,POINT (527327.9375039253 4768332.493393436),293.97,1015.63,2453.82,4588.29,6634.75,293.41,994.41,2386.89,4515.65,6744.7
006f100000a86CtAAI,1007331,Rwanda,Rwanda - Nyamigende - 1007331,Rejected,,12/31/18,Eastern Province,Bugesera,Juru,,Nyamigende,Akagera,,,Project Assessment - 2018.11.30,-2.095311,30.245678,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,2731.0,23155.0,Juru,6000.0,Nyakariro,0.0,,0.0,,0.0,,0.0,,,11/30/18,,,,,,,,,POINT (527327.9375039253 4768332.493393436),293.97,1015.63,2453.82,4588.29,6634.75,293.41,994.41,2386.89,4515.65,6744.7
006f100000efEkkAAE,1014568,Rwanda,Rwanda - Nyirarukobwa - 1014568,Rejected,Technical,12/2/18,Eastern Province,Bugesera,Ntarama-Nyamata,Kanzenze-Kayumba(Cyeru-Karambi),Nyirarukobwa,Muzi,,,Project Assessment - 2018.11.29,-2.10574,30.087112,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,1585.0,17920.0,Kanzenze,6500.0,Kayumba,6200.0,,0.0,,0.0,,0.0,,,11/29/18,,,,,,,,,POINT (509689.79355743906 4767181.285531723),422.68,1630.72,4878.15,9240.93,12569.77,412.65,1660.69,4881.4,9388.53,12727.79
006f100000efEkpAAE,1014569,Rwanda,Rwanda - Kibaza - 1014569,Rejected,Vehicular Bridge Required,12/31/18,Eastern Province,Bugesera,,,Kibaza,Kibaza,,,Project Assessment - 2018.11.29,-2.335418,30.05721,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4708.0,29361.0,Kindama,55.0,,0.0,,0.0,,0.0,,0.0,,,11/29/18,,,,,,,,,POINT (506362.6983909781 4741787.104703067),854.17,2127.04,4616.17,9510.13,15799.49,865.75,2243.45,4796.1,9893.22,16069.88
006f100000efEkzAAE,1014570,Rwanda,Rwanda - Gatovu - 1014570,Rejected,Technical,11/30/18,Eastern Province,Bugesera,Ruhuha,Kindama(Gatovu),Gatovu,Gatovu,,,Project Assessment - 2018.11.29,-2.335818,30.075542,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4973.0,30310.0,Kindama cell,7226.0,,0.0,,0.0,,0.0,,0.0,,,11/29/18,,,,,,,,,POINT (508401.5187115931 4741742.782391999),620.34,1615.46,4912.45,9446.86,14908.09,621.14,1623.23,5135.44,9645.08,15340.68
006f100000efEl9AAE,1014571,Rwanda,Rwanda - Gatanga - 1014571,Rejected,Technical,12/2/18,Eastern Province,Bugesera,Ruhuha,Kindama-Gatanga(Kibaza-Kibaza),Gatanga,Kadogori,,,Project Assessment - 2018.11.29,-2.32955,30.056882,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4969.0,30792.0,Kindama cell,7224.0,Gatanga cell,6580.0,,0.0,,0.0,,0.0,,,11/29/18,,,,,,,,,POINT (506326.2455672127 4742435.9022603985),1079.45,2556.66,6294.19,12776.41,18131.59,1079.45,2596.69,6441.73,12996.65,18513.44
006f100000efHARAA2,1014596,Rwanda,Rwanda - Rugarama/mbonwa - 1014596,Rejected,Technical,11/30/18,Eastern Province,Bugesera,Musenyi,Nyagihunika/rugarama,Rugarama/mbonwa,Ruhurura,,,Project Assessment - 2018.11.30,-2.22306,30.056,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,3913.0,26683.0,Rugarama,890.0,Mbonwa,1235.0,,0.0,,0.0,,0.0,,,11/30/18,,,,,,,,,POINT (506228.60921200406 4754209.975507347),695.88,2090.18,4785.97,7792.4,12332.06,695.88,2135.79,4708.58,7803.24,12481.09
006f100000efHAbAAM,1014598,Rwanda,Rwanda - Nyakajuri - 1014598,Rejected,Technical,11/30/18,Eastern Province,Bugesera,Musenyi,Nyagihunika/rugarama,Nyakajuri,Nyakajuri,,,Project Assessment - 2018.11.30,-2.20524,30.07864,,http://www.worldpop.org.uk/data/summary?doi=10.5258/SOTON/WP00539,4424.0,21354.0,Rugarama,960.0,,0.0,,0.0,,0.0,,0.0,,,11/30/18,,,,,,,,,POINT (508746.852772434 4756180.128684924),1807.29,4055.79,6751.64,9862.04,11412.58,1827.56,4048.47,6698.84,9905.86,11475.26
