Opportunity Name,Project Code,Level 1 Government,Level 2 Government,Level 3 Government,B2P Fiscal Year,Stage,Sub-Stage,Close Date,Bridge Type,Span (m),GPS (Latitude),GPS (Longitude),Population Estimate 2000m,Population Estimate 5000m,Individuals Directly Served
Uganda - Kama - UG101,UG101,Eastern Region,Mbale,Bufumbo,2018,Complete,In Service,43081,Suspended Bridge,90,1.11633,34.25246,16243,92668,5280
Uganda - Namakhokolo - 1008776,1008776,Eastern Region,Bududa,Bukibokolo,2018,Complete,In Service,43349,Suspended Bridge,90,0.978583,34.280483,10114,75683,4000
Uganda - Namawukulu - 1008780,1008780,Eastern Region,Bududa,Bukalasi,2018,Complete,In Service,43260,Suspended Bridge,70,1.004485,34.4016731,11363,59721,1300
Uganda - Kibembe - 1008734,1008734,Eastern Region,Sironko,Nalusala and Bumalimba,2019,Complete,In Service,43644,Suspension Bridge,74.6,1.2043,34.28912,8503,49100,1791
Uganda - Tongole - 1008762,1008762,Eastern Region,Manafwa,Manafwa Town Council,2019,Complete,In Service,43518,Suspension Bridge,74.8,1.937883,34.2691,0,2578,3000
Uganda - Lulwo - 1011066,1011066,Eastern Region,Bukwo,Bukwa,2019,Complete,In Service,43700,Suspended Bridge,65,1.304767,34.811307,417,4679,1626
Uganda - Kapkwomboloi - 1011592,1011592,Eastern Region,Kapchorwa,Kapsinda,2019,Complete,In Service,43490,Suspended Bridge,40,1.3947033,34.3742902,1602,20206,693
Uganda - Rwanda - 1015528,1015528,Eastern Region,Bukwo,Bukwo,2019,Complete,In Service,43672,Suspension Bridge,49.1,1.283832,34.726981,9580.2,47670.99,1742
Uganda - Tabagon - 1017617,1017617,Eastern Region,Kween,Binyiny Town Council and Binyiny Sub County,2020,Complete,In Service,43903,Suspended Bridge,54.6,1.421969,34.546568,5458.33,29286.22,1245
Uganda - Kikuyu - 1011474,1011474,Eastern Region,Bulambuli,Simu,2020,Complete,In Service,44074,Suspension Bridge,38,1.273242,34.312632,5742,53148,2521
Uganda - Sanzara - 1010460,1010460,Eastern Region,Kapchorwa,Kawowo,2020,Complete,In Service,43882,Suspended Bridge,60,1.373657,34.3343225,1880,21402,634
Uganda - Tuyobei - 1011084,1011084,Eastern Region,Bukwa,Tulel,2020,Complete,In Service,43791,Suspension Bridge,48,1.439188,34.726114,1066,2587,1709
Uganda - Kawuswo - 1011085,1011085,Eastern Region,Bukwa,Tulel,2020,Complete,In Service,43756,Suspension Bridge,42,1.419135,34.72236,27,2137,1374
Uganda - Banyal - 1011118,1011118,Eastern Region,Kween,Binyiny,2020,Complete,In Service,43903,Suspended Bridge,51.2,1.423756,34.549231,5195,32082,1489
Uganda - Posha - 1011154,1011154,Eastern Region,Kween,Kitawoi,2020,Complete,In Service,44003,Suspension Bridge,48.2,1.372294,34.566279,8642,35894,896
Uganda - Kyabayenze - 1015937,1015937,Western Region,Kasese,Karambi,2021,Complete,In Service,44099,Suspended Bridge,63,0.089215,29.739358,5983.42,42412.51,23416
Uganda - Aryowet - 1021288,1021288,Eastern Region,Bukwo,Tulel Sub County and Girik Sub County,2021,Complete,In Service,44316,Suspension Bridge,42,1.390363,34.700049,901.09,14930.93,1660
Uganda - Kihumuro B-kitomwire - 1022982,1022982,Western Region,Kibaale,Burora subcounty- kyangwali subcounty,2021,Complete,In Service,44302,Suspension Bridge,81,1.14253,30.87978,1738.19,13247.59,9924
Uganda - Korya - 1011116,1011116,Eastern Region,Kween,Kaptoyoy,2021,Complete,In Service,44173,Suspended Bridge,52,1.410182,34.500075,4853,37427,1160
Uganda - Chemuron - 1021307,1021307,Eastern Region,Bukwo,Kamet Sub County and Karita Sub County,2022,Complete,In Service,44477,Hybrid Suspension Bridge,66,1.416775,34.748919,634.68,6740.79,1211
Uganda - Ndoragi 1- Nyamirima lower - 1021784,1021784,Western Region,Ibanda,Bufunda division,2022,Complete,In Service,44583,Suspension Bridge,74.8,-0.1880372,30.5292606,2669.93,23610.55,13100
Uganda - Masaka-munsiso - 1022724,1022724,Western Region,Kabarole,Kabende,2022,Complete,In Service,44666,Suspended Bridge,73,0.862348,30.484131,2799.71,16027.1,11100
Uganda - Bundimulinga- Kijumbu - 1025075,1025075,Western Region,Bundibugyo,Nyahuka Town Council & Mirambi subcounty,2022,Complete,In Service,44592,Suspended Bridge,83,0.672921,29.996975,17313.93,61864.31,23520
Uganda - Ruboni-Kyambogho - 1036926,1036926,Western Region,Kasese,Ibanda-Kyanya Town Council,2022,Complete,In Service,44752,Hybrid Suspension Bridge,60,0.338746,30.031664,1821.35,13968.81,6046
Uganda - Kasumbelya - 1013817,1013817,Western Region,Bundibugyo,Mirambi,2022,Complete,In Service,44678,Suspended Bridge,60,0.641949,30.000555,9500.85,62043.36,1720
Uganda - Kabwe-Mutiti - 1013820,1013820,Western Region,Bundibugyo,Kagugu,2022,Complete,In Service,44788,Suspended Bridge,72,0.591305,29.988178,1682.48,15899.27,720
Uganda - Mihani-Karichadi - 1014455,1014455,Western Region,Kasese,Bwesumbu (Kasese) & Kabonero (Bunyangabu District),2022,Complete,In Service,44459,Suspension Bridge,66.6,0.464511,30.138793,3116.17,24213.38,5300
Uganda - Nganda- Bubwe - 1038749,1038749,Western Region,Buliisa,Biiso,2023,Complete,In Service,44957,Suspension Bridge,64,1.777943,31.4328,2387.39,13276.93,3254
Uganda - Waaki west-lokowaki - 1038790,1038790,Western Region,Buliisa,Kihungya,2023,Complete,In Service,44845,Suspended Bridge,87,1.725489,31.378287,5213.65,20616.71,2900
Uganda - Mugume - 1038791,1038791,Western Region,Buliisa,Kihungye,2023,Complete,In Service,44867,Suspension Bridge,38,1.73185,31.376722,4819.96,21377.72,2890
Uganda - Kishanda-kisegere - 1039081,1039081,Western Region,Kanungu,Kayonza,2023,Complete,In Service,45071,Suspended Bridge,84,-0.936912,29.657129,2954.99,19829.37,2090
Uganda - Isandalla-Nyamitooma - 1040609,1040609,Western Region,Kyegegwa,"Kakabara TC, Kyatega Subcounty",2023,Complete,In Service,45169,Suspension Bridge,73.8,0.544167,30.986111,2680.35,21982.96,3459
Uganda - Kahama-Ndaragi - 1041111,1041111,Western Region,Rukungiri,Nyakishenyi RHS-Nyakishenyi LHS,2023,Complete,In Service,45062,Suspended Bridge,62,-0.94088,29.868137,3197.91,19377.54,2850
Uganda - Nyakafura - 1042649,1042649,Western Region,Rukiga,Rwamucucu,2024,Complete,In Service,45374,Suspended Bridge,50,-1.186281,30.077927,3410.25,25771.81,1220
Uganda - Katookye - 1042834,1042834,Western Region,Kabale,Kyanamira,2024,Complete,In Service,45261,Suspension Bridge,40,-1.2693,30.029745,6897.35,53493.62,52000
Uganda - Katehe- Nyakajera - 1043210,1043210,Western Region,Rubirizi,Kyabakara,2024,Complete,In Service,45484,Suspended Bridge,46,-0.184768,30.238954,3510.56,17101.7,6490
Uganda - Nyamirima II- Nyamirima I - 1043213,1043213,Western Region,Rubirizi,Katerera,2024,Complete,In Service,45464,Suspended Bridge,46,-0.179176,30.184132,3780.76,27678.27,1200
Uganda - Kisenyi- kyangabukama - 1044562,1044562,Western Region,Kyenjojo,Kyarushozi town council,2024,Complete,In Service,45247,Suspended Bridge,58,0.798422,30.58818,3498.95,20732.46,350
Uganda - Tokwe - 1044916,1044916,Western Region,Bundibugyo,Harugale,2024,Complete,In Service,45345,Suspended Bridge,50,0.681339,30.06956,7619.1,49524.15,2200
Uganda - Nyakabugha-Bikone - 1014457,1014457,Western Region,Kasese,Ibanda-Kyanya Town Council,2024,Complete,In Service,45548,Hybrid Suspension Bridge,106,0.341503,30.052577,2506.46,16367.16,17163
Uganda - Kahondo Church - Nyamwirima - 1042839,1042839,Western Region,Kabale,Maziba,2025,Complete,In Service,45714,Suspended Bridge,60,-1.293,30.15263,3269.55,23674.93,2400
Uganda - Nkisya - 1013291,1013291,Western Region,Bundibugyo,Ntandi Town Council,2025,Complete,In Service,45716,Suspension Bridge,58,0.799587,30.146764,3756.61,20412.2,500
Uganda - Sonoli - 1008733,1008733,Eastern Region,Sironko,Buyobo,2012,Identified,Identified in Needs Assessment,,,,1.171083,34.30702,10546,61601,
Uganda - Kidibo - 1011473,1011473,Eastern Region,Bulambuli,Simu,2017,Identified,Identified in Needs Assessment,,,,1.253142,34.329432,9469,64838,34200
Uganda - Matuba - 1011475,1011475,Eastern Region,Bulambuli,Simu,2017,Identified,Identified in Needs Assessment,,,,1.280827,34.314366,5747,52498,2780
Uganda - Kapchesombe - 1008713,1008713,Eastern Region,Kapchorwa,Sipi Manyra,2017,Identified,Identified in Needs Assessment,,,100,1.335333,34.3862343,13078,47555,
Uganda - Bukesa - 1008714,1008714,Eastern Region,Kapchorwa,Kabeywa,2017,Identified,Identified in Needs Assessment,,,,1.3125645,34.3942527,7837,47532,500
Uganda - Sabiny Chebeser - 1008715,1008715,Eastern Region,Kapchorwa,Munarya,2017,Identified,Identified in Needs Assessment,,,100,1.3427421,34.3957163,9550,39514,
Uganda - Kwomo - 1008716,1008716,Eastern Region,Kapchorwa,Chema,2017,Identified,Identified in Needs Assessment,,,95,1.3664325,34.4041691,5442,32962,
Uganda - Chemosong - 1008717,1008717,Eastern Region,Kapchorwa,Chema,2017,Identified,Identified in Needs Assessment,,,110,1.3922682,34.3852152,2834,24174,
Uganda - Bukisasati - 1008718,1008718,Eastern Region,Namisindwa,Bumwoni,2017,Identified,Identified in Needs Assessment,,,,0.84923,34.387787,14507,83393,3500
Uganda - Bukhisoni - 1008719,1008719,Eastern Region,Namisindwa,Bumbo,2017,Identified,Identified in Needs Assessment,,,,0.88088,34.39049,17558,77166,4000
Uganda - Namikhana - 1008720,1008720,Eastern Region,Namisindwa,Bumwoni,2017,Identified,Identified in Needs Assessment,,,,0.84634,34.384735,13842,82845,
Uganda - Tingu - 1008721,1008721,Eastern Region,Namisindwa,Bumbo,2017,Identified,Identified in Needs Assessment,,,,0.8743283,34.398895,17930,72768,
Uganda - Bukhaleke - 1008722,1008722,Eastern Region,Manafwa,Namisindwa,2017,Identified,Identified in Needs Assessment,,,,0.85037,34.381465,14693,86800,1500
Uganda - Kisilwa - 1008723,1008723,Eastern Region,Manafwa,Namisindwa,2017,Identified,Identified in Needs Assessment,,,,0.8612017,34.4225626,12102,47750,
Uganda - Buwatsala - 1008724,1008724,Eastern Region,Namisindwa,Bumbo,2017,Identified,Identified in Needs Assessment,,,,0.885873,34.39583,14812,70321,
Uganda - Namisuni - 1008743,1008743,Eastern Region,Namisindwa,Bumbo,2017,Identified,Identified in Needs Assessment,,,,0.859017,34.378723,16359,89042,
