Opportunity Name,Project Code,Level 1 Government,Level 2 Government,Level 3 Government,B2P Fiscal Year,Stage,Sub-Stage,Close Date,Bridge Type,Span (m),GPS (Latitude),GPS (Longitude),Population Estimate 2000m,Population Estimate 5000m,Individuals Directly Served,geometry,WorldPop_3km
Uganda - Kama - UG101,UG101,Eastern Region,Mbale,Bufumbo,2018.0,Complete,In Service,43081.0,Suspended Bridge,90.0,1.11633,34.25246,16243.0,92668.0,5280.0,"POLYGON ((34.279418700047195 1.1163183175180778, 34.27928773896177 1.1136586766102172, 34.27889841679623 1.1110247623090377, 34.278254483364584 1.1084419397750311, 34.277362140325934 1.1059350821270657, 34.276229981451074 1.1035283309348358, 34.27486890985994 1.1012448637550374, 34.27329203302694 1.0991066709487227, 34.27151453656478 1.0971343439280492, 34.26955353800177 1.095346876870716, 34.26742792195978 1.093761483810916, 34.26515815831888 1.0923934328677667, 34.26276610511868 1.0912558992073955, 34.260274798092816 1.0903598381547175, 34.25770822886231 1.0897138796771286, 34.255091113922 1.0893242452567746, 34.25244865664364 1.089194687952642, 34.2498063045864 1.0893264562305944, 34.24718950445066 1.0897182819107087, 34.24462345703413 1.0903663923491245, 34.24213287454952 1.0912645467382815, 34.23974174264034 1.0924040961771768, 34.23747308938652 1.0937740669343086, 34.23534876352455 1.0953612661025718, 34.23338922401817 1.0971504086295967, 34.23161334300687 1.0991242645010344, 34.23003822403045 1.1012638246600532, 34.22867903728138 1.103548484065648, 34.22754887347261 1.105956240127152, 34.22665861772939 1.1084639046040043, 34.226016844721116 1.1110473269299572, 34.225629736044176 1.1136816268106722, 34.22550102065329 1.1163414338541355, 34.22563193891596 1.119001131925432, 34.22602123063771 1.121635105871733, 34.22666514717448 1.124217988240419, 34.227557487516435 1.1267249036132094, 34.228689657996405 1.1291317082020778, 34.23005075504847 1.1314152223983256, 34.23162767021979 1.1335534540340837, 34.23340521642434 1.1355258102050023, 34.235366274222216 1.137313295613154, 34.23749195671521 1.138898695519131, 34.23976179146957 1.140266741540722, 34.24215391771285 1.1414042587009312, 34.244645296904366 1.142300292308935, 34.24721193464985 1.1429462134520207, 34.24982911182147 1.1433358020827866, 34.25247162265593 1.1434653069019143, 34.255114017535945 1.1433334814605105, 34.25773084811548 1.142941596135259, 34.260296912426874 1.14229342586215, 34.262787497608166 1.1413952137481573, 34.26517861791221 1.1402556109126196, 34.26744724570507 1.13888559313904, 34.2695715332287 1.13729835514134, 34.271531022992676 1.1355091834640827, 34.27330684476908 1.1335353092418419, 34.27488189729449 1.1313957422366625, 34.276241012930114 1.1291110877526394, 34.27737110369584 1.1267033481913076, 34.2782612872734 1.124195711159134, 34.278902991766735 1.121612326167682, 34.27929003821239 1.1189780720765485, 34.279418700047195 1.1163183175180778))",39565.28
Uganda - Namakhokolo - 1008776,1008776,Eastern Region,Bududa,Bukibokolo,2018.0,Complete,In Service,43349.0,Suspended Bridge,90.0,0.978583,34.280483,10114.0,75683.0,4000.0,"POLYGON ((34.307440226437464 0.9785725322382836, 34.3073093923075 0.9759129126286213, 34.30692021006824 0.9732790075676211, 34.30627642809864 0.9706961821221636, 34.305384246514976 0.9681893094435434, 34.304252257455474 0.9657825312594414, 34.30289136233654 0.9634990254080662, 34.30131466687703 0.9613607826519731, 34.299537354901204 0.9593883949198245, 34.29757654213484 0.957600857014494, 34.295451111401505 0.9560153836964403, 34.2931815308049 0.9546472439034529, 34.29078965664698 0.9535096137030971, 34.288298522978224 0.9526134493940519, 34.28573211980558 0.9519673819787327, 34.28311516209233 0.9515776340240312, 34.280472851773375 0.9514479597115946, 34.27783063507657 0.9515796086559206, 34.27521395748609 0.9519713138397975, 34.272648018706924 0.9526193037844367, 34.27015752998977 0.9535173388383159, 34.26776647615273 0.9546567712364645, 34.26549788459201 0.9560266283529828, 34.26337360350597 0.957613718346112, 34.2614140914689 0.9594027571794337, 34.25963822038158 0.961376515796734, 34.25806309369722 0.9635159860338266, 34.256703881674255 0.9658005636699583, 34.255573675243866 0.9682082468561756, 34.25468335990071 0.9707158480097103, 34.25404151083266 0.9732992171335453, 34.25365431030093 0.9759334744100859, 34.25352548806751 0.9785932498283589, 34.25365628544487 0.9812529275362338, 34.254045443315334 0.9838868925635313, 34.2546892142364 0.986469777538901, 34.2555813985164 0.9889767070233463, 34.25671340391347 0.991383537106172, 34.25807432838338 0.9936670879547304, 34.25965106507932 0.9958053670772496, 34.261428428592346 0.9977777811475259, 34.26338930121614 0.9995653343505245, 34.265514797826846 1.0011508113379064, 34.26778444778912 1.0025189430308694, 34.27017639213534 1.003656553673128, 34.27266759411771 1.004552687717609, 34.27523406110406 1.0051987153249469, 34.27785107567874 1.005588415458048, 34.280493433721716 1.0057180357730242, 34.283135687171125 1.00558632873047, 34.285752389130415 1.0051945635802804, 34.288318338958085 1.004546514105716, 34.2908088249789 1.0036484222460025, 34.293199862478346 1.0025089379491263, 34.295468424688075 1.0011390358354273, 34.297592664537646 0.99955190947588, 34.29955212503749 0.9977628443044443, 34.30132793626737 0.9957890703894905, 34.30290299707437 0.9936495964830858, 34.30426213973167 0.9913650269469916, 34.30539227597377 0.9889573633188808, 34.30628252300333 0.9864497924299142, 34.30692430825772 0.9838664631140577, 34.307311451928044 0.9812322536591083, 34.307440226437464 0.9785725322382836))",30773.715
Uganda - Namawukulu - 1008780,1008780,Eastern Region,Bududa,Bukalasi,2018.0,Complete,In Service,43260.0,Suspended Bridge,70.0,1.004485,34.4016731,11363.0,59721.0,1300.0,"POLYGON ((34.42862917861895 1.0044732490618704, 34.42849822497555 1.00181377129703, 34.42810893582536 0.9991800190214714, 34.427465060570185 0.9965973557549868, 34.4265728002029 0.9940906530156463, 34.425440747584545 0.9916840508302354, 34.424079804694856 0.9894007252872534, 34.4225030776531 0.9872626653696818, 34.420725750519395 0.9852904612155428, 34.4187649390912 0.9835031058443909, 34.41663952610176 0.9819178122584536, 34.41436997940628 0.9805498476793213, 34.41197815490541 0.9794123865163548, 34.40948708610231 0.9785163834828721, 34.40692076231843 0.9778704680824006, 34.4043038977024 0.977480861481771, 34.40166169325506 0.9773513165724177, 34.399019594161174 0.977483081798171, 34.39640304476382 0.9778748890990678, 34.39383724354022 0.9785229660885617, 34.391346900438045 0.9794210723482003, 34.388955998909026 0.9805605594915572, 34.38668756493129 0.9819304544202584, 34.38456344524527 0.9835175649715062, 34.382604096939154 0.9853066069407079, 34.38082839041121 0.9872803512568172, 34.379253427607296 0.9894197898937063, 34.377894377285216 0.9917043189202296, 34.37676432889372 0.9941119369263696, 34.37587416647456 0.9966194569145133, 34.37523246380367 0.9992027296150204, 34.374845401782494 1.0018368760749756, 34.37471670887658 1.004496527279517, 34.3748476251764 1.0071560684971985, 34.37523689042746 1.0097898859952072, 34.37588075614641 1.0123726137472886, 34.37677302170682 1.014879377757229, 34.377905094048096 1.0172860356436473, 34.37926607043256 1.0195694091774878, 34.38084284345376 1.0217075075315052, 34.382620227284626 1.0236797390905878, 34.38458110394885 1.0254671097820218, 34.3867065882062 1.0270524060148298, 34.3889762094627 1.0284203604657025, 34.39136810895234 1.029557799114501, 34.39385925029021 1.0304537681131152, 34.39642564136736 1.0310996392659568, 34.39904256544913 1.031489193106608, 34.401684819249446 1.0316186787711703, 34.40432695568693 1.0314868500925591, 34.4069435289834 1.031094977569196, 34.40950933974323 1.0304468360940906, 34.41199967765226 1.0295486685638426, 34.41439055945833 1.0284091257194745, 34.41665895994125 1.0270391827999188, 34.418783033647806 1.025452033812234, 34.42074232525675 1.0236629644381028, 34.42251796654865 1.0216892048017274, 34.424092858084656 1.019549763517985, 34.42545183384572 1.0172652446197357, 34.42658180724846 1.0148576491277728, 34.42747189713289 1.0123501631745015, 34.42811353251054 1.0097669347216212, 34.428500535066 1.0071328410216345, 34.42862917861895 1.0044732490618704))",34652.266
Uganda - Kibembe - 1008734,1008734,Eastern Region,Sironko,Nalusala and Bumalimba,2019.0,Complete,In Service,43644.0,Suspension Bridge,74.6,1.2043,34.28912,8503.0,49100.0,1791.0,"POLYGON ((34.31607914347427 1.204287032138385, 34.31594805415835 1.2016274379324916, 34.315558600897354 1.1989935823265252, 34.31491453481366 1.1964108298856309, 34.31402205888141 1.1939040530204057, 34.31288976817902 1.1914973924874468, 34.311528567112944 1.189214024934704, 34.30995156440996 1.1870759397289603, 34.30817394688876 1.1851037272134874, 34.30621283322588 1.1833163804340376, 34.3040871091232 1.181731112241814, 34.30181724546339 1.180363189534242, 34.29942510120296 1.1792257862295572, 34.29693371289977 1.1783298563910976, 34.294367072900414 1.1776840287233825, 34.291749898321896 1.1772945234565129, 34.28910739305104 1.1771650924200285, 34.28646500505228 1.1772969828842252, 34.283848181319684 1.1776889255182241, 34.2812821228324 1.178337146581912, 34.278791541872195 1.1792354042355842, 34.276400424040126 1.1803750486188607, 34.27413179726359 1.181745105121524, 34.2720075100186 1.1833323800455033, 34.270048020903225 1.1851215876414938, 34.26827220158931 1.1870954972977037, 34.2666971550509 1.189235099463974, 34.265338050820965 1.1915197887139009, 34.26420797886406 1.1939275621823149, 34.26331782347364 1.1964352314672002, 34.262676158409775 1.1990186459552177, 34.2622891642887 1.201652925419783, 34.26216056902118 1.2043126996511313, 34.26229161187481 1.2069723528098835, 34.262681031507675 1.2096062701499743, 34.26332507808969 1.2121890847338517, 34.26421754939618 1.2146959217628, 34.265349850526476 1.2171026381681647, 34.266711076673396 1.2193860551548499, 34.2682881181463 1.2215241814563553, 34.270065786636614 1.2234964251501208, 34.272026961509084 1.2252837919922295, 34.27415275470957 1.2268690683604806, 34.276422692700024 1.2282369870432468, 34.27881491366746 1.2293743742769634, 34.28130637810618 1.230270276615891, 34.28387309074377 1.2309160664123011, 34.28649033167176 1.2313055248914633, 34.28913289445355 1.231434902021867, 34.29177532891462 1.231302952604796, 34.294392186275346 1.2309109482366565, 34.2969582642643 1.2302626650299706, 34.29944884985025 1.2293643472125646, 34.30183995725439 1.2282246469568774, 34.30410855895006 1.2268545410202727, 34.3062328074251 1.2252672250005394, 34.308192245571334 1.2234779862262688, 34.30996800367565 1.221504056507416, 34.31154298111624 1.219364446165135, 34.312902011015545 1.2170797609400283, 34.31403200626547 1.2146720035425922, 34.31492208552038 1.2121643617572444, 34.31556367794604 1.2095809851405317, 34.31595060571767 1.2069467524636652, 34.31607914347427 1.204287032138385))",9601.0625
Uganda - Tongole - 1008762,1008762,Eastern Region,Manafwa,Manafwa Town Council,2019.0,Complete,In Service,43518.0,Suspension Bridge,74.8,1.937883,34.2691,0.0,2578.0,3000.0,"POLYGON ((34.296068763062586 1.937862456070496, 34.29593688101498 1.9352028961386356, 34.29554655041421 1.9325691481794591, 34.29490153127434 1.9299865756676937, 34.2940080361581 1.927480049185545, 34.29287467032118 1.9250737069445292, 34.29151234882416 1.922790722360474, 34.28993419141062 1.9206530809185376, 34.28815539616393 1.9186813684756763, 34.28619309315916 1.916894573038014, 34.28406617951866 1.915309901920941, 34.281795137458786 1.9139426160518849, 34.279401837078495 1.9128058830108403, 34.276909325787514 1.911910650223585, 34.274341606399986 1.9112655395286962, 34.27172340602873 1.910876764133956, 34.269079938003735 1.9107480687623448, 34.26643665910571 1.9108806935647826, 34.26381902445078 1.9112733621480875, 34.26125224238522 1.9119222938345577, 34.25876103174911 1.9128212400363558, 34.25636938384556 1.9139615443957543, 34.25410033140682 1.915332226113397, 34.25197572678175 1.9169200856634871, 34.2500160314807 1.9187098318790898, 34.24824011910473 1.920684229184888, 34.246665093557645 1.9228242635605104, 34.24530612429241 1.925109325637004, 34.24417630017999 1.9275174091638438, 34.243286503409166 1.9300253229355637, 34.24264530463378 1.9326089141372602, 34.24225888037878 1.9352433009579986, 34.24213095350264 1.937903112231612, 34.24226275729162 1.9405627317965037, 34.24265302353345 1.9431965452203541, 34.24329799468731 1.9457791865126648, 34.24419146003457 1.948285782448035, 34.24532481546354 1.950692192145901, 34.24668714631361 1.9529752395981048, 34.24826533248177 1.9551129369035025, 34.250044174779646 1.9570846960583363, 34.252006541323986 1.958871527261365, 34.25413353255067 1.9604562218227557, 34.256404663261755 1.9618235179141275, 34.25879805995145 1.9629602475626464, 34.26129067150893 1.9638554634729075, 34.26385849126686 1.9645005444549046, 34.266476788255225 1.9648892784427074, 34.26912034543111 1.96501792230458, 34.27176370258778 1.9648852378690937, 34.27438140160167 1.9644925038210954, 34.276948231653236 1.9638435033540613, 34.27943947205831 1.9629444876990259, 34.28183113036978 1.9618041158827684, 34.284100173455435 1.9604333712969726, 34.28622474932585 1.9588454558834267, 34.28818439757569 1.9570556629558638, 34.28996024641206 1.9550812298847144, 34.29153519437294 1.9529411720647945, 34.29289407498697 1.950656099766004, 34.29402380279 1.948248019631705, 34.294913499294346 1.9457401227369902, 34.295554597699365 1.9431565612481874, 34.2959409253373 1.9405222158343824, 34.296068763062586 1.937862456070496))",0.0
Uganda - Lulwo - 1011066,1011066,Eastern Region,Bukwo,Bukwa,2019.0,Complete,In Service,43700.0,Suspended Bridge,65.0,1.304767,34.811307,417.0,4679.0,1626.0,"POLYGON ((34.83826041987692 1.3047473200040565, 34.83812870417296 1.3020884319846537, 34.83773868738308 1.299455340174024, 34.837094126020695 1.2968734014565955, 34.836201227729546 1.294367480100705, 34.83506859149511 1.2919617083493058, 34.83370712483687 1.289679254057865, 34.832129938778934 1.287542097615471, 34.83035222160943 1.2855708202959666, 34.8283910926437 1.2837844060760795, 34.82626543739802 1.2822000588281428, 34.823995725759566 1.280833036647249, 34.821603814901835 1.279696504908044, 34.81911273884165 1.2788014094663407, 34.81654648666218 1.2781563712270934, 34.81392977153596 1.2777676030948348, 34.811287792770344 1.277638850107437, 34.80864599316528 1.2777713533310295, 34.80602981401879 1.278163837865294, 34.80346445013829 1.2788125250762954, 34.800974607216276 1.2797111689407643, 34.798584263906555 1.2808511161535576, 34.79631644089204 1.2822213894211112, 34.79419297916859 1.2838087931403155, 34.79223432968041 1.285598040446462, 34.79045935633415 1.287571900407927, 34.78888515428979 1.2897113639509685, 34.78752688527972 1.29199582691734, 34.7863976315439 1.2944032884921282, 34.78550826978917 1.2969105630908764, 34.78486736638886 1.299493503665134, 34.78448109483353 1.3021272342752732, 34.78435317623 1.3047863896899186, 34.78448484342315 1.3074453597033784, 34.78487482908783 1.3100785358168476, 34.78551937790677 1.3126605579061876, 34.78641228271826 1.3151665584991263, 34.78754494428626 1.3175724023076762, 34.7889064541177 1.3198549187072546, 34.790483699529396 1.3219921249219921, 34.79226148995227 1.3239634377653215, 34.79422270325589 1.325749871895354, 34.79634845068292 1.3273342226746192, 34.798618258803735 1.3287012318723168, 34.801010266737045 1.3298377346127355, 34.80350143673548 1.3307327861544702, 34.80606777610586 1.3313777672796177, 34.80868456832497 1.3317664672785072, 34.81132661112281 1.3318951437315947, 34.8139684592387 1.3317625585139226, 34.816584669510384 1.3313699896767972, 34.819150045934315 1.330721219093866, 34.821639882335965 1.329822495992336, 34.82403020031211 1.3286824767223882, 34.82629798015336 1.3273121413467004, 34.82842138252303 1.3257246878551645, 34.830379958757824 1.323935405025211, 34.83215484776616 1.3219615251536228, 34.83372895762918 1.319822058079274, 34.8350871301569 1.3175376080961174, 34.83621628681717 1.315130175520128, 34.83710555463368 1.3126229448213527, 34.837746370843114 1.3100400613611916, 34.838132565305585 1.3074063988844091, 34.83826041987692 1.3047473200040565))",1903.7584
Uganda - Kapkwomboloi - 1011592,1011592,Eastern Region,Kapchorwa,Kapsinda,2019.0,Complete,In Service,43490.0,Suspended Bridge,40.0,1.3947033,34.3742902,1602.0,20206.0,693.0,"POLYGON ((34.401250414791534 1.3946873005336056, 34.401119023064574 1.392027819437391, 34.40072926037526 1.3893941051827798, 34.400084880924055 1.386811520904998, 34.399192090782506 1.3843049373199572, 34.39805948811277 1.381898493244014, 34.396697980359555 1.3796153631610382, 34.39512067921176 1.377477534073789, 34.393342774345285 1.3755055937872978, 34.39138138716201 1.373718532662058, 34.38925540593278 1.3721335607452998, 34.38698530393047 1.3707659420407994, 34.38459294230345 1.3696288475128857, 34.38210135958591 1.368733228240184, 34.379534549870684 1.3680877099408681, 34.376917231779004 1.3676985098856425, 34.37427461045039 1.3675693769993298, 34.37163213484335 1.3677015557288368, 34.36901525268263 1.3680937740265657, 34.366449165411886 1.3687422555662399, 34.36395858551061 1.3696407560748112, 34.36156749851186 1.3707806234319242, 34.359298932012265 1.3721508809594873, 34.357174733898766 1.37373833310052, 34.35521536192802 1.3755276924707072, 34.353439686685604 1.3775017270601437, 34.35186480982332 1.3796414261684709, 34.35050589932607 1.3819261834760423, 34.349376043396205 1.384333995488455, 34.348486124363774 1.3868416734435176, 34.347844713838654 1.3894250666398225, 34.347457990115984 1.392059295035845, 34.3473296786319 1.3947189888789953, 34.347461016044626 1.397378533056109, 34.347850738288535 1.400012313811233, 34.34849509271746 1.402594965453565, 34.349387874221435 1.4051016146784123, 34.35052048497024 1.4075081201469186, 34.35188201720872 1.4097913050159314, 34.35345935830699 1.4119291801772957, 34.355237317053906 1.4139011560553776, 34.357198769976975 1.4156882409219176, 34.359324826279014 1.4172732238173187, 34.36159500980215 1.4186408403159023, 34.36398745626521 1.4197779195381104, 34.36647912387379 1.4206735109935054, 34.36904601527275 1.4213189900329177, 34.37166340870179 1.4217081408943786, 34.37430609612623 1.421837216543555, 34.37694862604752 1.421704974733132, 34.37956554865365 1.4213126899348725, 34.382131660946676 1.4206641410306315, 34.38462224948551 1.4197655748822418, 34.38701332840516 1.4186256461325597, 34.38928187041945 1.4172553338189595, 34.391406028582445 1.4156678356038201, 34.39336534667273 1.4138784406420553, 34.39514095617534 1.4119043823113362, 34.396715757964806 1.409764672224383, 34.39807458694123 1.4074799171227448, 34.39920435803508 1.4050721204160503, 34.400094192176496 1.4025644702783004, 34.400735521017914 1.3999811163418978, 34.40112216940324 1.3973469371396328, 34.401250414791534 1.3946873005336056))",8113.004
Uganda - Rwanda - 1015528,1015528,Eastern Region,Bukwo,Bukwo,2019.0,Complete,In Service,43672.0,Suspension Bridge,49.1,1.283832,34.726981,9580.2,47670.99,1742.0,"POLYGON ((34.753935441801424 1.2838135302780909, 34.75380383914306 1.2811545124437935, 34.753413924190156 1.2785212804456727, 34.75276945247839 1.2759391925711097, 34.75187663080173 1.2734331145749227, 34.75074405743146 1.2710271802538347, 34.74938263931449 1.2687445590676714, 34.747805487048076 1.266607233043529, 34.74602778864195 1.264635785109952, 34.74406666328228 1.262849200898301, 34.741940996504646 1.2612646859190926, 34.739671258361795 1.25989749987334, 34.73727930633537 1.2587608096942398, 34.73478817488785 1.2578655627345288, 34.73222185367948 1.2572203813211504, 34.72960505658397 1.256831479693435, 34.72696298372586 1.2567026041256903, 34.72432107882934 1.2568349968121069, 34.721704784214126 1.2572273838632024, 34.719139295796616 1.2578759875309835, 34.71664932045508 1.258774562546726, 34.71425883809494 1.259914456223091, 34.711990870705456 1.261284691743372, 34.7098672606322 1.2628720738372567, 34.70790846020107 1.2646613158267583, 34.706133334720846 1.2666351868199264, 34.70455898076258 1.2687746776357025, 34.70320056146716 1.2710591838626117, 34.702071160469 1.273466704288677, 34.70118165584394 1.2759740527916144, 34.70054061529758 1.27855708164845, 34.700154213604854 1.2811909141134024, 34.70002617309808 1.2838501840233818, 34.700157727778084 1.2865092801225084, 34.70054761139561 1.289142592751404, 34.701192069619175 1.2917247605240936, 34.70208489617315 1.2942309146153195, 34.70321749259881 1.2966369183040707, 34.704578951063276 1.2989195994647598, 34.70615615941871 1.301056973765504, 34.707933927499965 1.3030284564225156, 34.70989513344327 1.3048150604700304, 34.712020888616266 1.3063995796352497, 34.71429071956922 1.3077667540562932, 34.716682765253864 1.3089034172466938, 34.71917398760846 1.3097986228908758, 34.72174039347927 1.3104437502496264, 34.72435726573904 1.3108325871609052, 34.72699940137472 1.3109613898374222, 34.7296413542496 1.3108289188861562, 34.732257680200206 1.3104364512042652, 34.73482318210592 1.3097877676383396, 34.73731315257011 1.308889116527546, 34.73970361187482 1.3077491534835133, 34.741971538916786 1.3063788579887101, 34.74409509290097 1.3047914276182346, 34.74605382365696 1.3030021509053156, 34.74782886855353 1.3010282600763046, 34.74940313411645 1.2988887650745387, 34.75076146060176 1.2966042704723564, 34.75189076794174 1.2941967770350027, 34.75278018165975 1.291689469847599, 34.75342113754371 1.2891064950453877, 34.7538074640722 1.2864727272968604, 34.753935441801424 1.2838135302780909))",27806.5
Uganda - Tabagon - 1017617,1017617,Eastern Region,Kween,Binyiny Town Council and Binyiny Sub County,2020.0,Complete,In Service,43903.0,Suspended Bridge,54.6,1.421969,34.546568,5458.33,29286.22,1245.0,"POLYGON ((34.57352642830147 1.421950663312832, 34.57339481752154 1.4192914031209858, 34.573004855652876 1.4166579300696884, 34.572360298798735 1.4140756048645429, 34.571467354702804 1.4115692956264454, 34.570334622954114 1.4091631384401706, 34.56897301216728 1.4068803049511962, 34.56739563493577 1.4047427792473015, 34.56561768156933 1.4027711461722858, 34.563656273830674 1.4009843931091908, 34.56153030007904 1.3993997271409708, 34.55926023340671 1.3980324093487568, 34.55686793451826 1.3968956078430907, 34.55437644124922 1.3960002709434622, 34.55180974674925 1.3953550217277104, 34.54919256846407 1.394966074967403, 34.546550110139286 1.3948371772499417, 34.54390781913624 1.39496957086512, 34.54129114139576 1.3953619818051783, 34.53872527640826 1.396010631995296, 34.5362349345488 1.3969092756382455, 34.53384409911381 1.3980492593246892, 34.53157579535036 1.3994196053317234, 34.529451868702814 1.4010071173088874, 34.52749277441235 1.4027965073351092, 34.52571738049661 1.4047705431240958, 34.52414278600759 1.4069102139614087, 34.52278415631943 1.4091949137758653, 34.52165457703368 1.4116026395825854, 34.52076492791061 1.4141102033867552, 34.52012377804251 1.4166934555072204, 34.51973730328016 1.4193275171688002, 34.51960922670958 1.4219870201226885, 34.51974078275403 1.4246463509863845, 34.52013070524839 1.4272798979489454, 34.52077523960255 1.4298622974644002, 34.52166817893746 1.432368678556153, 34.52280092384708 1.434774902378131, 34.524162565211014 1.437057794724087, 34.525739989260735 1.4391953692443986, 34.527518003887316 1.4411670392192795, 34.529479484973834 1.4429538158476458, 34.53160554134234 1.444538491140942, 34.533875696725644 1.4459058036596788, 34.53626808701004 1.4470425854959683, 34.5387596708477 1.4479378890862067, 34.54132645160849 1.4485830926326124, 34.54394370853169 1.448971983118667, 34.54658623484972 1.449100816119557, 34.54922858058828 1.44896835183251, 34.551845297703046 1.4485758669811688, 34.55441118519054 1.4479271424807234, 34.556901531810986 1.4470284269841067, 34.559292354085024 1.4458883766619535, 34.561560627271334 1.44451797179794, 34.56368450710063 1.4429304110043677, 34.565643540130935 1.4411409840782958, 34.5674188606988 1.439166924724057, 34.56899337257094 1.4370272445616878, 34.57035191354813 1.4347425500207265, 34.57148140143796 1.4323348438833945, 34.57237095999243 1.4298273133886215, 34.57301202359975 1.4272441069374997, 34.573398419724114 1.424610101550164, 34.57352642830147 1.421950663312832))",13111.418
Uganda - Kikuyu - 1011474,1011474,Eastern Region,Bulambuli,Simu,2020.0,Complete,In Service,44074.0,Suspension Bridge,38.0,1.273242,34.312632,5742.0,53148.0,2521.0,"POLYGON ((34.33959158470095 1.273228042473125, 34.3394603961457 1.270568479923204, 34.33907084046914 1.267934665252893, 34.338426669816855 1.265351962612692, 34.337534088201004 1.2628452439104525, 34.33640169174163 1.2604386493176605, 34.33504038587951 1.2581553548213826, 34.333463280357854 1.2560173490591031, 34.331685562983814 1.2540452215843942, 34.32972435338497 1.2522579646014547, 34.327598538168104 1.2506727900770562, 34.32532858906663 1.2493049639905849, 34.32293636582647 1.248167659318085, 34.32044490572733 1.2472718291660707, 34.317878201764486 1.2466261012770912, 34.31526097162597 1.2462366949234684, 34.31261841968814 1.246107360990253, 34.30997599432053 1.2462393458253327, 34.307359142835736 1.2466313792058903, 34.304793066443246 1.247279686538288, 34.302302477566315 1.2481780251751422, 34.29991136185836 1.2493177445011314, 34.29764274721053 1.2506878692101435, 34.29551848197484 1.2522752049729713, 34.29355902453911 1.2540644654790172, 34.29178324628068 1.2560384196295031, 34.29020824979723 1.2581780574654124, 34.288849204166425 1.2604627732327907, 34.287719198821875 1.262870563822774, 34.286829117454346 1.2653782406753957, 34.286187533153765 1.2679616531063724, 34.28580062580355 1.2705959209057873, 34.28567212252437 1.2732556739681147, 34.28580326174222 1.2759152966450937, 34.28619278122856 1.2785491744673076, 34.28683693022857 1.281131940857367, 34.28772950556217 1.2836387214575486, 34.28886191135074 1.2860453737176651, 34.29022324179499 1.288328719434526, 34.29180038620705 1.29046676800227, 34.29357815528522 1.2924389282223334, 34.29553942741495 1.2942262066321322, 34.29766531358644 1.2958113904414699, 34.29993533933954 1.297179213314146, 34.302327641982636 1.2983165023976193, 34.30481918118462 1.2992123051844515, 34.307385960910324 1.2998579949837232, 34.310003260560215 1.3002473539868784, 34.31264587308662 1.300376633128518, 34.31528834779163 1.3002445881663647, 34.31790523546665 1.299852491633887, 34.32047133351141 1.2992041205516156, 34.32296192867058 1.2983057200168082, 34.325353035049304 1.2971659430234892, 34.32762162511497 1.2957957670938942, 34.329745851460245 1.2942083885256104, 34.33170525719183 1.2924190952742223, 34.333480972919354 1.2904451196968936, 34.33505589844816 1.2883054725760619, 34.33641486742736 1.2860207600224935, 34.337544793368984 1.283612985021549, 34.33843479563369 1.281105335534114, 34.339076304171435 1.2785219611928438, 34.33946314201031 1.2758877407438898, 34.33959158470095 1.273228042473125))",40642.6
