ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE
Abako,UG30670101,Moroto,UG306701,Alebtong,UG3067,Northern,UG3
Abanga,UG31000101,Okoro,UG310001,Zombo,UG3100,Northern,UG3
Abarilela,UG20270101,Amuria,UG202701,Amuria,UG2027,Eastern,UG2
Aber,UG30960101,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Abia,UG30670102,Moroto,UG306701,Alebtong,UG3067,Northern,UG3
Abim,UG30640101,Labwor,UG306401,Abim,UG3064,Northern,UG3
Abim Town Council,UG30640102,Labwor,UG306401,Abim,UG3064,Northern,UG3
Abindu Division,UG30910101,Nebbi Municipality,UG309101,Nebbi,UG3091,Northern,UG3
Abok,UG30960102,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Aboke,UG30790101,Kole,UG307901,Kole,UG3079,Northern,UG3
Abongomola,UG30810101,Kwania,UG308101,Kwania,UG3081,Northern,UG3
Abuku,UG30780101,Koboko,UG307801,Koboko,UG3078,Northern,UG3
Acaba,UG30960103,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Acholibur,UG30970101,Aruu,UG309701,Pader,UG3097,Northern,UG3
Acowa,UG20460101,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2
Adeknino,UG30730101,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3
Adekokwok,UG30830101,Erute,UG308301,Lira,UG3083,Northern,UG3
Adilang,UG30660101,Agago,UG306601,Agago,UG3066,Northern,UG3
Adjumani Town Council,UG30650101,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3
Adok,UG30730102,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3
Adropi,UG30650102,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3
Aduku,UG30810102,Kwania,UG308101,Kwania,UG3081,Northern,UG3
Aduku Town Council,UG30810103,Kwania,UG308101,Kwania,UG3081,Northern,UG3
Adumi,UG30720201,Ayivu,UG307202,Arua,UG3072,Northern,UG3
Adwari,UG30950101,Otuke,UG309501,Otuke,UG3095,Northern,UG3
Adyel Division,UG30830201,Lira Municipality,UG308302,Lira,UG3083,Northern,UG3
Agago Town Council,UG30660102,Agago,UG306601,Agago,UG3066,Northern,UG3
Agali,UG30830102,Erute,UG308301,Lira,UG3083,Northern,UG3
Agikdak,UG30680101,Kioga,UG306801,Amolatar,UG3068,Northern,UG3
Agoro,UG30820101,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Agule,UG20590201,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Agulu Division,UG30710101,Apac Municipality,UG307101,Apac,UG3071,Northern,UG3
Agwata,UG30730103,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3
Agweng,UG30830103,Erute,UG308301,Lira,UG3083,Northern,UG3
Agwingiri,UG30680102,Kioga,UG306801,Amolatar,UG3068,Northern,UG3
Aii-Vu,UG30720301,Terego,UG307203,Arua,UG3072,Northern,UG3
Ajia,UG30720401,Vurra,UG307204,Arua,UG3072,Northern,UG3
Akaa,UG31000102,Okoro,UG310001,Zombo,UG3100,Northern,UG3
Akalo,UG30790102,Kole,UG307901,Kole,UG3079,Northern,UG3
Akere Division,UG30710102,Apac Municipality,UG307101,Apac,UG3071,Northern,UG3
Akeriau,UG20270102,Amuria,UG202701,Amuria,UG2027,Eastern,UG2
Akisim,UG20590202,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Akokoro,UG30710201,Maruzi,UG307102,Apac,UG3071,Northern,UG3
Akoromit,UG20460102,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2
Akura,UG30670103,Moroto,UG306701,Alebtong,UG3067,Northern,UG3
Akwon,UG30680103,Kioga,UG306801,Amolatar,UG3068,Northern,UG3
Akworo,UG30910201,Padyere,UG309102,Nebbi,UG3091,Northern,UG3
Alangi,UG31000103,Okoro,UG310001,Zombo,UG3100,Northern,UG3
Alango,UG30950102,Otuke,UG309501,Otuke,UG3095,Northern,UG3
Alebtong Town Council,UG30670104,Moroto,UG306701,Alebtong,UG3067,Northern,UG3
