"Opportunity Name","Randomized Order","Research Initiative","Bridge Name","GPS (Latitude)","GPS (Longitude)","Level 1 Government","Level 3 Government","Level 4 Government","Stage","Sub-Stage","Individuals Directly Served","Bridge Type","Span (m)","Ground Breaking Date","Close Date","CaseSafeID","Project Code","Close Month","B2P Fiscal Year","Level 2 Government"
"Rwanda - Cyabami (Kwa Anamariya) - 1013233","1","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Cyabami (Kwa Anamariya)","-1.6083400000","29.8911000000","Northern Province","Nemba","Kadehero","Complete","In Service","2554","Suspended Bridge","56.0","5/24/2022","9/8/2022","006f100000d7608AAA","1013233","9/1/2022","2023","Burera"
"Rwanda - Nyabizi ya 1 - 1013496","2","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Nyabizi ya 1","-1.3300100000","29.8255500000","Northern Province","Kinyababa","Rutovu","Complete","In Service","1854","Suspended Bridge","60.0","6/10/2022","10/27/2022","006f100000d7Q9rAAE","1013496","10/1/2022","2023","Burera"
"Rwanda - Banga - 1012550","18","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Banga","-1.6897222000","29.8088800000","Northern Province","Gakenke-Minazi","Ndora-mutara","Identified","Requested","600","","","","12/31/2025","006f100000dhpEmAAI","1012550","12/1/2025","2025","Gakenke"
"Rwanda - Buranga - 1007356","8","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Buranga","-1.6397220000","29.7847220000","Northern Province","Nemba","","Rejected","Technical","2958","","","","12/31/2018","006f100000a86DIAAY","1007356","12/1/2018","2018","Gakenke"
"Rwanda - Gitwa - 1007340","7","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Gitwa","-1.7388880000","29.7552770000","Northern Province","Mataba-minazi","Gitwa/gitwa-nyundo/mwanza","Complete","In Service","2860","Suspended Bridge","52.0","5/1/2021","6/30/2021","006f100000a86D2AAI","1007340","6/1/2021","2021","Gakenke"
"Rwanda - Kabutimbo - 1015693","2","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Kabutimbo","-1.6211870000","29.6605690000","Northern Province","Rusasa","Rurembo - kamonyi","Complete","In Service","1280","Suspended Bridge","55.0","3/29/2021","6/28/2021","006f100000fHqCoAAK","1015693","6/1/2021","2021","Gakenke"
"Rwanda - Kirwa - 1013683","11","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Kirwa","-1.6115200000","29.7002600000","Northern Province","Busengo","Butereri/kirwa","Complete","In Service","1240","Suspended Bridge","136.0","1/19/2023","6/2/2023","006f100000d7ieSAAQ","1013683","6/1/2023","2023","Gakenke"
"Rwanda - Kwiterambere - 1013678","4","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Kwiterambere","-1.6634400000","29.8343900000","Northern Province","Gashenyi","Taba/bushita","Complete","In Service","1530","Suspension Bridge","76.0","3/25/2021","6/30/2021","006f100000d7icgAAA","1013678","6/1/2021","2021","Gakenke"
"Rwanda - Musange - 1013668","15","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Musange","-1.6169700000","29.7917200000","Northern Province","Nemba","Mucaca/kiryamo","Identified","","1610","Suspension Bridge","59.0","1/3/2024","3/6/2024","006f100000d7ib4AAA","1013668","3/1/2024","2024","Gakenke"
"Rwanda - Musange kukibuga - 1013670","14","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Musange kukibuga","-1.6364700000","29.7896200000","Northern Province","Nemba","Mucaca/ngahinga","Complete","In Service","1812","Suspension Bridge","105.0","1/16/2023","6/2/2023","006f100000d7ibTAAQ","1013670","6/1/2023","2023","Gakenke"
"Rwanda - Ntaruka - 1007347","1","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Ntaruka","-1.7811111110","29.8791666667","Northern Province","Muhondo-muyongwe","/musenyi/musenyi-/va/gikombe","Complete","In Service","1600","Suspended Bridge","44.0","3/29/2021","6/28/2021","006f100000a86D9AAI","1007347","6/1/2021","2021","Gakenke"
"Rwanda - Nyarusange - 1013792","9","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Nyarusange","-1.7284800000","29.7658900000","Northern Province","Mataba","Nyundo/kabuyora","Complete","In Service","2740","Suspended Bridge","104.0","1/23/2023","6/30/2023","006f100000d7wv0AAA","1013792","6/1/2023","2023","Gakenke"
